name_fr,name_ar,wilaya_code,daira,postal_code,latitude,longitude,code_commune
Adrar,أدرار,1,Adrar,01000,27.87429,-0.297222,101
Akabli,اقبلي,1,Aoulef,01004,26.70828,0.2833,119
Aoulef,أولف,1,Aoulef,01003,26.96667,1.08333,112
Bouda,بودة,1,Adrar,01001,28.0142,-0.50254,122
Fenoughil,فنوغيل,1,Fenoughil,01007,27.602777,0.3,115
In Zghmir,إن زغمير,1,Zaouiet Kounta,01015,27.09388889,-0.121,105
Ouled Ahmed Timmi,أولاد أحمد تيمي,1,,,,,
Reggane,رقان,1,Reggane,01010,26.71576,0.1714,104
Sali,سالي,1,Reggane,01011,26.983333,-0.0275,118
Sebaa,السبع,1,Tsabit,01013,28.21194,-0.175,126
Tamantit,تامنطيط,1,Fenoughil,01008,27.7605,-0.266699,114
Tamest,تامست,1,Fenoughil,01009,27.416666,0.2667,102
Timekten,تيمقتن,1,,,,,
Tit,تيت,1,Aoulef,01006,26.95083333,1.015,106
Tsabit,تسابيت,1,Tsabit,01012,28.35049,-0.216111,108
Zaouiet Kounta,زاوية كنتة,1,Zaouiet Kounta,01014,27.22269,-0.19781,111
Abou El Hassane,أبو الحسن,2,Abou El Hassan,02018,36.4,1.1929114,222
Ain Merane,عين مران,2,Aïn Merane,02031,36.16277,0.97037,232
Benairia,بنايرية,2,Zeboudja,02022,36.3539,1.37403,203
Beni  Bouattab,بني بوعتاب,2,El Karimia,02017,36.0019469,1.6469253,235
Beni Haoua,بني حواء,2,Beni Haoua,02026,36.5311,1.56891,207
Beni Rached,بني راشد,2,Oued Fodda,02013,36.280556,1.516111,213
Boukadir,بوقادير,2,Boukadir,02006,36.066944,1.126,212
Bouzeghaia,بوزغاية,2,Zeboudja,02023,36.338889,1.0503,231
Breira,بريرة,2,Beni Haoua,02028,36.4488017,1.6482,234
Chettia,الشطية,2,Ouled Fares,02010,36.1589988,1.2409799,224
Chlef,الشلف,2,Chlef,02000,36.1647,1.3317,201
Dahra,الظهرة,2,Taougrite,02025,36.255278,0.85174,217
El Hadjadj,الحجاج,2,Ouled Ben Abdelkader,02034,36.0158333,1.3783333,227
El Karimia,الكريمية,2,El Karimia,02015,36.116111,1.55,204
El Marsa,المرسى,2,El Marsa,02029,36.401579,0.9161822,223
Harchoun,حرشون,2,El Karimia,02016,36.11354,1.506,209
Herenfa,الهرانفة,2,,,,,
Labiod Medjadja,الأبيض مجاجة,2,Ouled Fares,02011,36.2767832,1.3855161,228
Moussadek,مصدق,2,El Marsa,02030,36.3333333,0.7303,226
Oued Fodda,وادي الفضة,2,Oued Fodda,02012,36.183333,1.5499211,229
Oued Goussine,وادي قوسين,2,Beni Haoua,02027,36.525556,1.4967,216
Oued Sly,وادي سلي,2,Boukadir,02008,36.1,1.2,221
Ouled Abbes,أولاد عباس,2,Oued Fodda,02014,36.21909,1.483333333,218
Ouled Ben Abdelkader,أولاد بن عبد القادر,2,Ouled Ben Abdelkader,02033,36.0258,1.28,230
Ouled Fares,أولاد فارس,2,Ouled Fares,02009,36.2316052,1.236999,210
Oum Drou,أم الدروع,2,Chlef,02002,36.2,1.3833,233
Sendjas,سنجاس,2,Chlef,02001,36.0696,1.309028,219
Sidi Abderrahmane,سيدي عبد الرحمن,2,Ténès,02005,36.4922766,1.0957418,225
Sidi Akkacha,سيدي عكاشة,2,Ténès,02004,36.46472,1.303,211
Sobha,الصبحة,2,Boukadir,02007,36.1100346,1.110123,208
Tadjena,تاجنة,2,Abou El Hassan,02019,36.3167,1.335167,205
Talassa,تلعصة,2,Abou El Hassan,02020,36.4288223,1.05,214
Taougrit,تاوقريت,2,Taougrite,02024,36.244723,0.922852,206
Tenes,تنس,2,Ténès,02003,36.509722,1.30809,202
Zeboudja,الزبوجة,2,Zeboudja,02021,36.350527,1.430283,220
Ain Madhi,عين ماضي,3,Aïn Madhi,03007,33.7956,2.3052,307
Benacer Benchohra,بن ناصر بن شهرة,3,Ksar El Hirane,03002,33.751463,3.002939,303
El Assafia,العسافية,3,Sidi Makhlouf,03004,33.8264,2.9899,320
El Haouaita,الحويطة,3,Aïn Madhi,03010,33.645394,2.444713,323
Hassi Delaa,حاسي الدلاعة,3,Hassi R'Mel,03005,33.41742,3.55021,305
Hassi R'mel,حاسي الرمل,3,Hassi R'Mel,03006,32.928,3.271,306
Kheneg,الخنق,3,Aïn Madhi,03011,33.744444,2.794,309
Ksar El Hirane,قصر الحيران,3,Ksar El Hirane,03001,33.788564,3.140717,302
Laghouat,الأغواط,3,Laghouat,03000,33.8,2.875,301
Sidi Makhlouf,سيدي مخلوف,3,Sidi Makhlouf,03003,34.12942,3.01436,304
Tadjemout,تاجموت,3,Aïn Madhi,03008,33.87729,2.52113,308
Tadjrouna,تاجرونة,3,Aïn Madhi,03009,33.503632,2.101217,318
Ain Babouche,عين ببوش,4,Aïn Babouche,04008,35.941111,7.1875,408
Ain Beida,عين البيضاء,4,Aïn Beïda,04002,35.7981327,7.3921734,402
Ain Diss,عين الديس,4,Aïn Babouche,04009,36.03,7.8,415
Ain Fekroun,عين فكرون,4,Aïn Fakroun,04018,35.9711,6.8737,425
Ain Kercha,عين كرشة,4,Aïn Kercha,04015,35.916667,6.68333,412
Ain M'lila,عين مليلة,4,Aïn M'lila,04005,36.03823,6.57318,403
Ain Zitoun,عين الزيتون,4,Oum El Bouaghi,04001,35.684444,6.9403,427
Behir Chergui,بحير الشرقي,4,Meskiana,04026,35.790804,7.6833,404
Berriche,بريش,4,Aïn Beïda,04004,35.795833,7.37667,409
Bir Chouhada,بئر الشهداء,4,Souk Naamane,04021,35.894444,6.29,421
Dhalaa,الضلعة,4,Dhalaa,04013,35.461111,7.547222,411
El Amiria,العامرية,4,Sigus,04012,36.111944,6.8822,424
El Belala,البلالة,4,Meskiana,04027,35.665278,7.788333,407
El Djazia,الجازية,4,Dhalaa,04014,35.663154,7.5071271,414
El Fedjoudj Boughrara Sa,الفجوج بوغرارة سعودي,4,Aïn Fakroun,04019,35.70805,6.816944,419
El Harmilia,الحرملية,4,Aïn Kercha,04016,35.923532,6.619263,429
Fkirina,فكيرينة,4,Fkirina,04023,35.663889,7.2989,416
Hanchir Toumghani,هنشير تومغني,4,Aïn Kercha,04017,35.934722,6.7808,413
Ksar Sbahi,قصر الصباحي,4,Ksar Sbahi,04010,36.0833,7.25,422
Meskiana,مسكيانة,4,Meskiana,04025,35.631,7.6669,424
Oued Nini,وادي نيني,4,Fkirina,04024,35.5722,7.298855,423
Ouled Gacem,أولاد قاسم,4,Aïn M'lila,04006,36.034166,6.6658,428
Ouled Hamla,أولاد حملة,4,Aïn M'lila,04007,36.09042,6.46483,410
Ouled Zouai,أولاد زواي,4,Souk Naamane,04022,35.836111,6.506667,420
Oum El Bouaghi,أم البواقي,4,Oum El Bouaghi,04000,35.8706,7.117,401
Rahia,الرحية,4,Meskiana,04028,35.716667,6.933333,426
Sigus,سيقوس,4,Sigus,04011,36.12361,6.7708138,406
Souk Naamane,سوق نعمان,4,Souk Naamane,04020,35.895833,6.389444,417
Zorg,الزرق,4,Aïn Beïda,04003,35.78777778,7.468055,418
Ain Djasser,عين جاسر,5,Aïn Djasser,05003,35.8308281,6.0044121,519
Ain Touta,عين التوتة,5,Aïn Touta,05005,35.3991089,5.9198387,545
Ain Yagout,عين ياقوت,5,El Madher,05022,35.7746,6.41644,522
Arris,أريس,5,Arris,05009,35.25881,6.34706,516
Batna,باتنة,5,Batna,05000,35.55597,6.1741447,501
Beni Foudhala El Hakania,بني فضالة الحقانية,5,,,,,
Boulhilat,بولهيلات,5,Chemora,05017,35.6752,6.6625,560
Boumagueur,بومقر,5,N'Gaous,05035,35.5052,5.5525,541
Boumia,بومية,5,El Madher,05023,35.677222,6.480833,559
Bouzina,بوزينة,5,Bouzina,05014,35.2698953,6.0996978,535
Chemora,الشمرة,5,Chemora,05016,35.66528,6.5011,536
Chir,شير,5,Teniet El Abed,05055,35.2135627,6,552
Djerma,جرمة,5,El Madher,05024,35.6851412,6.3013432,513
El Hassi,الحاسي,5,Aïn Djasser,05004,35.7227778,5.906111,557
El Madher,المعذر,5,El Madher,05021,35.63121,6.369152,507
Fesdis,فسديس,5,Batna,05001,35.62,6.27476,523
Foum Toub,فم الطوب,5,Ichmoul,05026,35.405,6.549721,531
Ghassira,غسيرة,5,T'Kout,05060,35.2576,6.20608,502
Gosbat,القصبات,5,Ras El Aioun,05041,35.6667,5.517,539
Guigba,القيقبة,5,Ras El Aioun,05042,35.807778,6,510
Hidoussa,حيدوسة,5,Merouana,05033,35.6375,5.9375,546
Ichemoul,إشمول,5,Ichmoul,05025,35.310694,6.50382,530
Inoughissen,إينوغيسن,5,Ichmoul,05027,35.286388,6.55,511
Kimmel,كيمل,5,T'Kout,05059,35.3442,6.471658,517
Ksar Bellezma,قصر بلزمة,5,Merouana,05032,35.67649,5.9033,528
Larbaa,لارباع,5,Bouzina,05015,35.403889,6.11124,561
Lazrou,لازرو,5,Seriana,05049,35.7,6.2167,558
Lemcene,لمسان,5,Ouled Si Slimane,05039,,,
Maafa,معافة,5,Aïn Touta,05007,35.266667,5.9198387,503
Menaa,منعة,5,Menaa,05028,35.1777,6.006775,506
Merouana,مروانة,5,Merouana,05030,35.63106,5.91186,504
N Gaous,نقاوس,5,N'Gaous,05034,35.561836,5.610924,509
Oued Chaaba,وادي الشعبة,5,Batna,05002,35.504722,6.07784,537
Oued El Ma,وادي الماء,5,Merouana,05031,35.64527778,5.994722222,533
Oued Taga,وادي الطاقة,5,Teniet El Abed,05054,35.4205,6.23,548
Ouled Aouf,أولاد عوف,5,Aïn Touta,05008,35.45555556,5.756944,540
Ouled Fadel,أولاد فاضل,5,Timgad,05057,35.4843,6.6247,549
Ouled Sellem,أولاد سلام,5,Ras El Aioun,05045,35.8411857,5.8822,520
Ouled Si Slimane,أولاد سي سليمان,5,Ouled Si Slimane,05037,35.610833,5.632777,553
Ouyoun El Assafir,عيون العصافير,5,Tazoult,05052,35.552203,6.3438785,512
Rahbat,الرحبات,5,Ras El Aioun,05043,35.5333,5.65,525
Ras El Aioun,رأس العيون,5,Ras El Aioun,05040,35.675,5.65,551
Sefiane,سفيان,5,N'Gaous,05036,35.4414,5.5581,524
Seriana,سريانة,5,Seriana,05048,35.691666,6.18639,505
T Kout,تكوت,5,T'Kout,05058,35.3339,6.30861,544
Talkhamt,تالخمت,5,Ras El Aioun,05044,35.665278,5.8667,534
Taxlent,تاكسلانت,5,Ouled Si Slimane,05038,35.5333,5.81667,538
Tazoult,تازولت,5,Tazoult,05051,35.489188,6.254311,508
Teniet El Abed,ثنية العابد,5,Teniet El Abed,05053,35.24695,6.19062,547
Tighanimine,تيغانمين,5,Arris,05010,35.1955527,6.25,526
Tigharghar,تغرغار,5,,,,,
Timgad,تيمقاد,5,Timgad,05056,35.485165,6.4686,550
Zanet El Beida,زانة البيضاء,5,Seriana,05050,35.809722,6.08512,554
Adekar,أدكار,6,Adekar,06006,36.683333,4.6667,624
Ait R'zine,أيت رزين,6,Ighil Ali,06029,36.37034683,4.4868,628
Ait-Smail,أيت إسماعيل,6,Darguina,06023,36.7333,4.85,647
Akbou,أقبو,6,Akbou,06009,36.4575,4.53494,625
Akfadou,أكفادو,6,Chemini,06021,36.6333333,4.5895,642
Amalou,أمالو,6,Seddouk,06034,36.477777,4.633333,616
Amizour,أميزور,6,Amizour,06002,36.64022,4.9013,602
Aokas,أوقاس,6,Aokas,06013,36.6333,5.25,622
Barbacha,برباشة,6,Barbacha,06015,36.5667,4.96667,634
Bejaia,بجاية,6,Béjaïa,06000,36.7508896,5.0567333,601
Beni Djellil,بني جليل,6,Amizour,06003,36.5729271,4.8108,623
Beni K'sila,بني كسيلة,6,Adekar,06008,36.839681,4.7070616,635
Beni-Mallikeche,بني مليكش,6,,,,,
Benimaouche,بني معوش,6,,,,,
Boudjellil,بو جليل,6,Tazmalt,06046,36.334,4.414167,652
Bouhamza,بوحمزة,6,Seddouk,06036,36.489722,4.6064,637
Boukhelifa,بوخليفة,6,Tichy,06048,36.5831,4.9667,648
Chellata,شلاطة,6,Akbou,06010,36.5135502,4.5108862,605
Chemini,شميني,6,Chemini,06018,36.5944017,4.6210411,629
Darguina,درقينة,6,Darguina,06022,36.6344,5.375595,620
Dra El Caid,ذراع القايد,6,Kherrata,06031,36.4295337,5.2475518,645
El Kseur,القصر,6,El Kseur,06025,36.684389,4.852222,640
Fenaia Il Maten,فناية الماثن,6,El Kseur,06026,36.671667,4.790555,618
Feraoun,فرعون,6,Amizour,06005,36.5569444,4.85454,603
Ighil-Ali,إغيل علي,6,Ighil Ali,06028,36.3379865,4.4702131,617
Ighram,اغرم,6,Akbou,06011,36.46295,4.505,615
Kendira,كنديرة,6,Barbacha,06016,36.653,5.0173,613
Kherrata,خراطة,6,Kherrata,06030,36.492724,5.278,644
Leflaye,الفلاي,6,Sidi-Aïch,06038,36.60916667,4.8814,643
M'cisna,مسيسنة,6,Seddouk,06035,36.563407,4.710368,609
Melbou,مالبو,6,Souk El Ténine,06043,36.671389,5.360759,641
Oued Ghir,وادي غير,6,Béjaïa,06001,36.710277,4.983333,651
Ouzellaguen,أوزلاقن,6,Ouzellaguen,06032,36.54203,4.6127777,636
Seddouk,صدوق,6,Seddouk,06033,36.547,4.70778,626
Sidi Ayad,سيدي عياد,6,Sidi-Aïch,06041,36.61667,4.75,621
Sidi-Aich,سيدي عيش,6,Sidi-Aïch,06037,36.612944,4.688298,639
Smaoun,سمعون,6,,,,,
Souk El Tenine,سوق لإثنين,6,Souk El Ténine,06042,36.6256524,5.3360215,608
Souk Oufella,سوق اوفلا,6,Chemini,06020,36.606111,4.6389,630
Tala Hamza,تالة حمزة,6,Tichy,06049,36.6876795,5.0078451,633
Tamokra,تامقرة,6,Akbou,06012,36.3932,4.6645,606
Tamridjet,تامريجت,6,Souk El Ténine,06044,36.5833119,5.4253757,646
Taourit Ighil,تاوريرت إغيل,6,,,,,
Taskriout,تاسكريوت,6,Darguina,06024,36.56667,5.2733,631
Tazmalt,تازمالت,6,Tazmalt,06045,36.3878041,4.4079213,627
Tibane,طيبان,6,Chemini,06019,36.613585,4.651185,632
Tichy,تيشي,6,Tichy,06047,36.6961,5.1550882,611
Tifra,تيفرة,6,Sidi-Aïch,06040,36.6667365,4.6963496,614
Timezrit,تيمزريت,6,Timezrit,06050,36.615556,4.7667,607
Tinebdar,تينبدار,6,,,,,
Tizi-N'berber,تيزي نبربر,6,Aokas,06014,36.6134619,5.2176317,649
Toudja,توجة,6,El Kseur,06027,36.75,4.8922277,619
Ain Naga,عين الناقة,7,Sidi Okba,07010,34.68762,6.09419,714
Biskra,بسكرة,7,Biskra,07000,34.8,5.7510475,701
Bordj Ben Azzouz,برج بن عزوز,7,Tolga,07022,34.697222,5.362777,727
Bouchakroun,بوشقرون,7,Tolga,07021,34.8091667,5.341111,729
Chetma,شتمة,7,Sidi Okba,07008,34.801667,5.6597222,704
El Feidh,الفيض,7,Zeribet El Oued,07013,34.4668996,6.5356449,716
El Ghrous,الغروس,7,Foughala,07031,34.7233926,5.285277,731
El Hadjab,الحاجب,7,Biskra,07001,34.79027,5.596944,732
El Haouch,الحوش,7,Sidi Okba,07009,34.8667,6.0255738,713
Foughala,فوغالة,7,Foughala,07030,34.7326063,5.31666667,726
Khenguet Sidi Nadji,خنقة سيدي ناجي,7,Zeribet El Oued,07014,34.821721,6.6958939,733
Lichana,ليشانة,7,Tolga,07023,34.71753,5.4289853,723
Lioua,ليوة,7,Ourlal,07016,34.63099,5.4,722
M'chouneche,مشونش,7,M'Chouneche,07006,34.9497,6.0039,712
M'lili,مليلي,7,Ourlal,07019,34.805833,5.554247,725
Mekhadma,مخادمة,7,Ourlal,07018,34.64779,5.867778,730
Meziraa,المزيرعة,7,,,,,
Oumache,أوماش,7,Ourlal,07017,34.69292,5.6883,702
Ourlal,أورلال,7,Ourlal,07015,34.655556,5.525895,724
Sidi Okba,سيدي عقبة,7,Sidi Okba,07007,34.74512,5.9,711
Tolga,طولقة,7,Tolga,07020,34.7214,5.3802134,721
Zeribet El Oued,زريبة الوادي,7,Zeribet El Oued,07011,34.683,6.511,715
Abadla,العبادلة,8,Abadla,08008,31.019,-2.72387,817
Bechar,بشار,8,Béchar,08000,31.61667,-2.21667,801
Beni-Ounif,بني ونيف,8,Beni Ounif,08001,32.0492426,-1.2514,821
Boukais,بوكايس,8,Lahmar,08003,31.923333,-2.46361,815
Erg-Ferradj,عرق فراج,8,Abadla,08009,31.0347,-2.791389,802
Kenadsa,القنادسة,8,Kenadsa,08005,31.5544,-2.4327,810
Lahmar,لحمر,8,Lahmar,08002,31.931388,-2.2597,806
Machraa-Houari-Boumediene,مشرع هواري بومدين,8,,,,,
Meridja,المريجة,8,Kenadsa,08006,31.55,-2.95,804
Mogheul,موغل,8,Lahmar,08004,32.0225,-2.2227252,816
Tabelbala,تبلبالة,8,Tabelbala,52007,29.41005,-3.25261,812
Taghit,تاغيت,8,Taghit,08007,30.9201058,-2.0322172,813
Ain Romana,عين الرمانة,9,Mouzaïa,09018,36.3963569,2.6487087,924
Beni Mered,بني مراد,9,Ouled Yaïch,09024,36.52389,2.86131,921
Beni-Tamou,بني تامو,9,Oued Alleug,09020,36.536389,2.8161,919
Benkhelil,بن خليل,9,Oued Alleug,09021,36.6202778,2.876389,910
Blida,البليدة,9,Blida,09000,36.47004,2.8319,901
Bouarfa,بوعرفة,9,Blida,09001,36.466944,2.816389,920
Boufarik,بوفاريك,9,Boufarik,09002,36.57413,2.9108333,916
Bougara,بوقرة,9,Bougara,09005,36.54,3.081,922
Bouinan,بوعينان,9,Bouinan,09008,36.53167,2.99194,903
Chebli,الشبلي,9,Bouinan,09009,36.567222,3.0085182,902
Chiffa,الشفة,9,Mouzaïa,09017,36.4669,2.75,908
Chrea,الشريعة,9,Ouled Yaïch,09023,36.425556,2.876667,906
Djebabra,جبابرة,9,Meftah,09015,36.58416667,3.268903,925
El-Affroun,العفرون,9,El Affroun,09010,36.4701,2.625,907
Guerrouaou,قرواو,9,Boufarik,09004,36.516667,2.8844,923
Hammam Elouane,حمام ملوان,9,Bougara,09006,36.486667,3.045,909
Larbaa,الأربعاء,9,Larbaâ,09012,36.56527778,3.153933,917
Meftah,مفتاح,9,Meftah,09014,36.6204,3.22248,914
Mouzaia,موزاية,9,Mouzaïa,09016,36.4669,2.6899,912
Oued  Djer,وادي جر,9,El Affroun,09011,36.4201457,2.5495112,918
Oued El Alleug,وادي العلايق,9,Oued Alleug,09019,36.55528,2.79028,904
Ouled Slama,اولاد سلامة,9,Bougara,09007,36.548333,3.11,915
Ouled Yaich,أولاد يعيش,9,Ouled Yaïch,09022,36.50393,2.8619,905
Souhane,صوحان,9,Larbaâ,09013,36.5329164,3.2483058,913
Soumaa,الصومعة,9,Boufarik,09003,36.51833,2.905278,911
Aghbalou,أغبالو,10,M'Chedallah,10014,36.3713916,4.225,1027
Ahl El Ksar,أهل القصر,10,Bechloul,10008,36.2549,4.03944,1022
Ain El Hadjar,عين الحجر,10,Aïn Bessem,10030,36.33889,3.806389,1025
Ain Laloui,عين العلوي,10,Aïn Bessem,10029,36.316667,3.75,1041
Ain Turk,عين الترك,10,Aïn El Turk,31300,35.74494,-0.7697,3109
Ain-Bessem,عين بسام,10,Aïn Bessem,10028,36.296667,3.67,1035
Ait Laaziz,أيت لعزيز,10,,,,,
Aomar,أعمر,10,Kadiria,10017,36.4925,3.794,1016
Ath Mansour,آث  منصور,10,M'Chedallah,10015,36.330823,4.301147,1043
Bechloul,بشلول,10,Bechloul,10005,36.316667,4.075,1033
Bir Ghbalou,بئر غبالو,10,Bir Ghbalou,10025,36.26416667,3.7224,1036
Bordj Okhriss,برج أوخريص,10,Bordj Okhriss,10041,36.083333,3.974444,1018
Bouderbala,بودربالة,10,Lakhdaria,10022,36.58,3.5089,1023
Bouira,البويرة,10,Bouira,10000,36.37763,3.8962348,1001
Boukram,بوكرم,10,Lakhdaria,10020,36.5261,3.36604,1034
Chorfa,شرفة,10,M'Chedallah,10012,36.36505,4.323611,1017
Dechmia,الدشمية,10,Sour El Ghozlane,10039,36.13,3.5767,1031
Dirah,ديرة,10,Sour El Ghozlane,10040,36.0003,3.65992,1007
Djebahia,جباحية,10,Kadiria,10018,36.4764,3.7588,1026
El Adjiba,العجيبة,10,Bechloul,10007,36.3749965,4.1616143,1019
El Asnam,الأسنام,10,Bechloul,10006,36.3206,4.013889,1002
El Hachimia,الهاشمية,10,El Hachimia,10033,36.24071,3.8161,1015
El Khabouzia,الخبوزية,10,Bir Ghbalou,10027,36.3159,3.6008333,1021
El-Hakimia,الحاكمية,10,Sour El Ghozlane,10038,36.0914921,3.7806,1020
El-Mokrani,المقراني,10,Souk El Khemis,10032,36.42889,3.60375,1044
Guerrouma,قرومة,10,Lakhdaria,10024,36.4630499,3.4296446,1003
Hadjera Zerga,الحجرة الزرقاء,10,Bordj Okhriss,10044,35.957778,3.849444,1042
Haizer,حيزر,10,Haizer,10003,36.39702,3.99917,1012
Hanif,حنيف,10,M'Chedallah,10013,36.335801,4.34149,1006
Kadiria,قادرية,10,Kadiria,10016,36.5200245,3.6927531,1005
Lakhdaria,الأخضرية,10,Lakhdaria,10019,36.56448,3.59675,1013
M Chedallah,أمشدالة,10,M'Chedallah,10010,36.3713916,4.264103,1037
Maala,معلة,10,Lakhdaria,10021,36.492778,3.573611,1014
Maamora,المعمورة,10,Sour El Ghozlane,10036,36.033056,3.62017,1039
Mezdour,مزدور,10,Bordj Okhriss,10042,36.376111,4.07056,1011
Oued El Berdi,وادي البردي,10,El Hachimia,10034,36.2638925,3.9266502,1045
Ouled Rached,أولاد راشد,10,Bechloul,10009,36.21525,4.1106,1040
Raouraoua,روراوة,10,Bir Ghbalou,10026,36.55528,3.7375,1010
Ridane,ريدان,10,Sour El Ghozlane,10037,36.073888,3.46166,1032
Saharidj,سحاريج,10,M'Chedallah,10011,36.396944,3.8619,1030
Souk El Khemis,سوق الخميس,10,Souk El Khemis,10031,36.388056,3.635,1004
Sour El Ghozlane,سور الغزلان,10,Sour El Ghozlane,10035,36.14766,3.69123,1038
Taghzout,تاغزوت,10,Haizer,10004,36.3167,3.9667,1009
Taguedite,تاقديت,10,Bordj Okhriss,10043,36.0175,3.99472221,1028
Z'barbar (El Isseri ),زبربر,10,Lakhdaria,10023,,,
Abelsa,ابلسة,11,,,,,
Ain Amguel,عين امقل,11,,,,,
Idles,أدلس,11,Tazrouk,11004,23.8173973,5.9343664,1105
Tamanrasset,تمنراست,11,Tamanrasset,11000,22.7888209,5.52278,1101
Tazrouk,تاظروك,11,Tazrouk,11003,23.4133,6.265556,1106
Ain Zerga,عين الزرقاء,12,Ouenza,12010,35.648611,8.261111,1223
Bedjene,بجن,12,El Ogla,12020,35.40417,7.4746519,1226
Bekkaria,بكارية,12,El Kouif,12001,35.366667,8.2422222,1217
Bir Dheheb,بئر الذهب,12,Morsott,12004,34.908056,7.938333,1214
Bir Mokkadem,بئر مقدم,12,Bir Mokkadem,12015,35.3725,7.8096037,1210
Boukhadra,بوخضرة,12,El Aouinet,12008,35.744444,8.0325,1218
Boulhaf Dyr,بولحاف الدير,12,El Kouif,12002,35.52052,8.10581,1225
Cheria,الشريعة,12,Cheria,12026,35.2684831,7.7471025,1203
El Kouif,الكويف,12,El Kouif,12003,35.498333,8.321944,1211
El Malabiod,الماء الابيض,12,,,,,
El Meridj,المريج,12,Ouenza,12011,35.79308,8.22951,1224
El Mezeraa,المزرعة,12,El Ogla,12019,35.266667,7.58,1227
El Ogla,العقلة,12,El Ogla,12018,35.183333,7.46762,1213
El-Aouinet,العوينات,12,El Aouinet,12009,35.867,7.887778,1205
El-Houidjbet,الحويجبات,12,El Ma Labiodh,12006,35.29331683,8.278941075,1206
Guorriguer,قريقر,12,Bir Mokkadem,12014,35.422777,7.593333,1216
