id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,type_label_ar,sector,abbreviation,address,phone,fax,slug
01-centre_formation-01,المعهد التكنولوجي الفلاحي المتخصص أدرار,,المعهد التكنولوجي الفلاحي المتخصص أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,centre_formation,Institut et centre de formation,معهد ومركز التكوين,public,ITMAS Adrar,,049904950,,itmas-adrar
01-chambre_agriculture-01,Chambre d'Agriculture de Adrar,Chambre d'Agriculture de Adrar,الغرفة الفلاحية لولاية أدرار,01,0101,Adrar,27.87429,-0.297222,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي محمد بوضياف وسط مدينة الهامل 01000 أدرار,049351724,049351724,chambre-d-agriculture-de-adrar
01-conservation_forets-01,Conservation des Forêts de Adrar,Conservation des Forêts de Adrar,محافظة الغابات أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,حي أولاد أونقالا (مقر الولاية سابقا) 389,049361232,049361234,conservation-des-forets-de-adrar
01-dsa-01,Direction des Services Agricoles de Adrar,Direction des Services Agricoles de Adrar,مديرية المصالح الفلاحية لولاية أدرار,01,,,27.87429,-0.297222,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,طريق طالب محمد,049364828,049364811,direction-des-services-agricoles-de-adrar
02-chambre_agriculture-01,Chambre d'Agriculture de Chlef,Chambre d'Agriculture de Chlef,الغرفة الفلاحية لولاية الشلف,02,,,36.1647,1.3317,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي بوسونة مقابل الضمان الاجتماعي 02000,027774663,027790857,chambre-d-agriculture-de-chlef
02-conservation_forets-01,Conservation des Forêts de Chlef,Conservation des Forêts de Chlef,محافظة الغابات الشلف,02,,,36.1647,1.3317,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"نهج الأمير عبد القادر ص,ب 232",027771808,027771616,conservation-des-forets-de-chlef
02-dsa-01,Direction des Services Agricoles de Chlef,Direction des Services Agricoles de Chlef,مديرية المصالح الفلاحية لولاية الشلف,02,0201,Chlef,36.1647,1.3317,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,شارع بلحمري جيلالي، الشلف,027775900,027790575,direction-des-services-agricoles-de-chlef
03-chambre_agriculture-01,Chambre d'Agriculture de Laghouat,Chambre d'Agriculture de Laghouat,الغرفة الفلاحية لولاية الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,مدينة 5جويلية حديقة المعمورة 03000 الأغواط,029134301,029134300,chambre-d-agriculture-de-laghouat
03-conservation_forets-01,Conservation des Forêts de Laghouat,Conservation des Forêts de Laghouat,محافظة الغابات الأغواط,03,0301,Laghouat,33.8,2.875,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,الحي الإداري المحاريف، الأغواط,029145400,029145401,conservation-des-forets-de-laghouat
03-dsa-01,Direction des Services Agricoles de Laghouat,Direction des Services Agricoles de Laghouat,مديرية المصالح الفلاحية لولاية الأغواط,03,,,33.8,2.875,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,محافير,029145412,029146484,direction-des-services-agricoles-de-laghouat
04-chambre_agriculture-01,Chambre d'Agriculture de Oum El Bouaghi,Chambre d'Agriculture de Oum El Bouaghi,الغرفة الفلاحية لولاية أم البواقي,04,,,35.8706,7.117,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,شارع مدفون,032560726,032560651,chambre-d-agriculture-de-oum-el-bouaghi
04-conservation_forets-01,Conservation des Forêts de Oum El Bouaghi,Conservation des Forêts de Oum El Bouaghi,محافظة الغابات أم البواقي,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"حي 18 فيفري ص,ب رقم 41، أم البواقي",032563614,032545717,conservation-des-forets-de-oum-el-bouaghi
04-dsa-01,Direction des Services Agricoles de Oum El Bouaghi,Direction des Services Agricoles de Oum El Bouaghi,مديرية المصالح الفلاحية لولاية أم البواقي,04,0401,Oum El Bouaghi,35.8706,7.117,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,حي العربي بن مهيدي، أم البواقي,032563110,032563262,direction-des-services-agricoles-de-oum-el-bouaghi
05-chambre_agriculture-01,Chambre d'Agriculture de Batna,Chambre d'Agriculture de Batna,الغرفة الفلاحية لولاية باتنة,05,0501,Batna,35.55597,6.1741447,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي ادم الاخضرار05000 باتنة,033814656,033803879,chambre-d-agriculture-de-batna
05-conservation_forets-01,Conservation des Forêts de Batna,Conservation des Forêts de Batna,محافظة الغابات باتنة,05,0501,Batna,35.55597,6.1741447,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,الحي الإداري الجديد، باتنة 03,033807031,033853902,conservation-des-forets-de-batna
05-dsa-01,Direction des Services Agricoles de Batna,Direction des Services Agricoles de Batna,مديرية المصالح الفلاحية لولاية باتنة,05,,,35.55597,6.1741447,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,حي كشيدة,033852568,033807044,direction-des-services-agricoles-de-batna
05-institut_recherche-01,المدرسة الوطنية للغابات,,المدرسة الوطنية للغابات,05,,,35.55597,6.1741447,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,ENAF,,033857454,,enaf
06-chambre_agriculture-01,Chambre d'Agriculture de Béjaïa,Chambre d'Agriculture de Béjaïa,الغرفة الفلاحية لولاية بجاية,06,0601,Bejaia,36.7508896,5.0567333,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,50مسكن حي رابية ناصيرية 0600 بجاية,034164185,034164186,chambre-d-agriculture-de-bejaia
06-conservation_forets-01,Conservation des Forêts de Béjaïa,Conservation des Forêts de Béjaïa,محافظة الغابات بجاية,06,0601,Bejaia,36.7508896,5.0567333,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,طريق فاتح محفوظي المنطقة الصناعية، بجاية,034187090,034187128,conservation-des-forets-de-bejaia
06-dsa-01,Direction des Services Agricoles de Béjaïa,Direction des Services Agricoles de Béjaïa,مديرية المصالح الفلاحية لولاية بجاية,06,0601,Bejaia,36.7508896,5.0567333,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,الحي الإداري الجديد، طريق الإخوة ثابت، بجاية,034102606,034102612,direction-des-services-agricoles-de-bejaia
07-chambre_agriculture-01,Chambre d'Agriculture de Biskra,Chambre d'Agriculture de Biskra,الغرفة الفلاحية لولاية بسكرة,07,0701,Biskra,34.8,5.7510475,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,356شارع الاخواة جزار وسط المدينة 07000 بسكرة,033537470,033537469,chambre-d-agriculture-de-biskra
07-conservation_forets-01,Conservation des Forêts de Biskra,Conservation des Forêts de Biskra,محافظة الغابات بسكرة,07,0701,Biskra,34.8,5.7510475,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,حارة الواد بسكرة,033530454,033530453,conservation-des-forets-de-biskra
07-dsa-01,Direction des Services Agricoles de Biskra,Direction des Services Agricoles de Biskra,مديرية المصالح الفلاحية لولاية بسكرة,07,,,34.8,5.7510475,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,شارع الامير عبد القادر المحطة,033558372,033558371,direction-des-services-agricoles-de-biskra
07-groupe_public-01,مجمع تثمين الانتاج الفلاحي,,مجمع تثمين الانتاج الفلاحي,07,,,34.8,5.7510475,approximate,wilaya_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,Filiale SUDACO,شارع المحطة ص ب 64,033627019,033627020,filiale-sudaco
07-institut_recherche-01,لمعهد التقني لتنمية الزراعة الصحراوية,,لمعهد التقني لتنمية الزراعة الصحراوية,07,,,34.8,5.7510475,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,ITDAS,,033624291,033624278,itdas
08-chambre_agriculture-01,Chambre d'Agriculture de Béchar,Chambre d'Agriculture de Béchar,الغرفة الفلاحية لولاية بشار,08,0801,Bechar,31.61667,-2.21667,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي غراسا 0800 بشار,049215715,049215715,chambre-d-agriculture-de-bechar
08-conservation_forets-01,Conservation des Forêts de Béchar,Conservation des Forêts de Béchar,محافظة الغابات بشار,08,0801,Bechar,31.61667,-2.21667,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"ص,ب 193 طريق المطار، بشار",049262183,049262182,conservation-des-forets-de-bechar
08-dsa-01,Direction des Services Agricoles de Béchar,Direction des Services Agricoles de Béchar,مديرية المصالح الفلاحية لولاية بشار,08,,,31.61667,-2.21667,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,05، العقيد شابو برقة,049210362,049210364,direction-des-services-agricoles-de-bechar
09-chambre_agriculture-01,Chambre d'Agriculture de Blida,Chambre d'Agriculture de Blida,الغرفة الفلاحية لولاية البليدة,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,10نهج بن بولعيد البليدة 09000,025234417,026234416,chambre-d-agriculture-de-blida
09-conservation_forets-01,Conservation des Forêts de Blida,Conservation des Forêts de Blida,محافظة الغابات البليدة,09,,,36.47004,2.8319,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,طرق واد العلايق – 13 زبانة (90000 بليدة),025235815,025235817,conservation-des-forets-de-blida
09-dsa-01,Direction des Services Agricoles de Blida,Direction des Services Agricoles de Blida,مديرية المصالح الفلاحية لولاية البليدة,09,,,36.47004,2.8319,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,حي عزي علي سيدي عبد القادر,025391347,025246531,direction-des-services-agricoles-de-blida
09-groupe_public-01,مجمع تثمين الانتاج الفلاحي,,مجمع تثمين الانتاج الفلاحي,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,Filiale AGRAL/AM,طريق بن صاري شبلي البليدة,025486844,025486842,filiale-agral-am
09-groupe_public-02,مــــجــمــع الــهــنــدســـة الــريـــفــيــة,,مــــجــمــع الــهــنــدســـة الــريـــفــيــة,09,0901,Blida,36.47004,2.8319,approximate,commune_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,GGR,طريق بن صاري شبلي ولاية البليدة,025486847,025486852,ggr
10-chambre_agriculture-01,Chambre d'Agriculture de Bouira,Chambre d'Agriculture de Bouira,الغرفة الفلاحية لولاية البويرة,10,1001,Bouira,36.37763,3.8962348,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,شارع بوكارو مخلوف 1000 البويرة,026730172,026730101,chambre-d-agriculture-de-bouira
10-conservation_forets-01,Conservation des Forêts de Bouira,Conservation des Forêts de Bouira,محافظة الغابات البويرة,10,,,36.37763,3.8962348,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,منطقة الحظائرن ولاية بويرة,026732839,026930131,conservation-des-forets-de-bouira
10-dsa-01,Direction des Services Agricoles de Bouira,Direction des Services Agricoles de Bouira,مديرية المصالح الفلاحية لولاية البويرة,10,,,36.37763,3.8962348,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,طريق بوكارو مخلوف,026730210,026730177,direction-des-services-agricoles-de-bouira
11-chambre_agriculture-01,Chambre d'Agriculture de Tamanrasset,Chambre d'Agriculture de Tamanrasset,الغرفة الفلاحية لولاية تمنراست,11,,,22.7888209,5.52278,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,شارع سعيد مقراني وسط المدينة,029314001,029314001,chambre-d-agriculture-de-tamanrasset
11-conservation_forets-01,Conservation des Forêts de Tamanrasset,Conservation des Forêts de Tamanrasset,محافظة الغابات تمنراست,11,1101,Tamanrasset,22.7888209,5.52278,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"حي الشموعة، ص,ب 126، تمنراست",029320147,029320147,conservation-des-forets-de-tamanrasset
11-dsa-01,Direction des Services Agricoles de Tamanrasset,Direction des Services Agricoles de Tamanrasset,مديرية المصالح الفلاحية لولاية تمنراست,11,,,22.7888209,5.52278,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,3048حي السلام,029310210,029310211,direction-des-services-agricoles-de-tamanrasset
12-chambre_agriculture-01,Chambre d'Agriculture de Tébessa,Chambre d'Agriculture de Tébessa,الغرفة الفلاحية لولاية تبسة,12,1201,Tebessa,35.405556,8.12417,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي شهلة عمارة رقم 02 تبسة 12000,037562041,037483042,chambre-d-agriculture-de-tebessa
12-conservation_forets-01,Conservation des Forêts de Tébessa,Conservation des Forêts de Tébessa,محافظة الغابات تبسة,12,1201,Tebessa,35.405556,8.12417,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,حيالهواء الجميل وسط ، تبسة,037555948,037555654,conservation-des-forets-de-tebessa
12-dsa-01,Direction des Services Agricoles de Tébessa,Direction des Services Agricoles de Tébessa,مديرية المصالح الفلاحية لولاية تبسة,12,,,35.405556,8.12417,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,طريق قسنطينة,037592700,037592837,direction-des-services-agricoles-de-tebessa
13-chambre_agriculture-01,Chambre d'Agriculture de Tlemcen,Chambre d'Agriculture de Tlemcen,الغرفة الفلاحية لولاية تلمسان,13,,,34.882777,-1.316667,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,,043422031,043592837,chambre-d-agriculture-de-tlemcen
13-conservation_forets-01,Conservation des Forêts de Tlemcen,Conservation des Forêts de Tlemcen,محافظة الغابات تلمسان,13,1301,Tlemcen,34.882777,-1.316667,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"ص,ب رقم 369، تلمسان",043278562,043271479,conservation-des-forets-de-tlemcen
13-dsa-01,Direction des Services Agricoles de Tlemcen,Direction des Services Agricoles de Tlemcen,مديرية المصالح الفلاحية لولاية تلمسان,13,1301,Tlemcen,34.882777,-1.316667,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,شارع 24 متر، تلمسان,043422347,043422031,direction-des-services-agricoles-de-tlemcen
14-chambre_agriculture-01,Chambre d'Agriculture de Tiaret,Chambre d'Agriculture de Tiaret,الغرفة الفلاحية لولاية تيارت,14,1401,Tiaret,35.3667,1.3167,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي 1575 مسكن محمد جحلان تيارت 14000,046221829,046426430,chambre-d-agriculture-de-tiaret
14-conservation_forets-01,Conservation des Forêts de Tiaret,Conservation des Forêts de Tiaret,محافظة الغابات تيارت,14,1401,Tiaret,35.3667,1.3167,approximate,commune_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,"حي عرباوي عبد القادر، مقابل حي دبي، ص,ب 118، تيارت",046254212,046207816,conservation-des-forets-de-tiaret
14-dsa-01,Direction des Services Agricoles de Tiaret,Direction des Services Agricoles de Tiaret,مديرية المصالح الفلاحية لولاية تيارت,14,1401,Tiaret,35.3667,1.3167,approximate,commune_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,شارع بوليس عمار، طريق بوشقيف، تيارت,046244408,046244407,direction-des-services-agricoles-de-tiaret
15-centre_formation-01,المعهد التكنولوجي الفلاحي المتخصص تيزي وزو,,المعهد التكنولوجي الفلاحي المتخصص تيزي وزو,15,,,36.733333,4.05,approximate,wilaya_centroid,madr,centre_formation,Institut et centre de formation,معهد ومركز التكوين,public,ITMAS Tizi Ouzou,,026207051,,itmas-tizi-ouzou
15-chambre_agriculture-01,Chambre d'Agriculture de Tizi Ouzou,Chambre d'Agriculture de Tizi Ouzou,الغرفة الفلاحية لولاية تيزي وزو,15,,,36.733333,4.05,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,حي 500 مسكن,026200508,026205469,chambre-d-agriculture-de-tizi-ouzou
15-conservation_forets-01,Conservation des Forêts de Tizi Ouzou,Conservation des Forêts de Tizi Ouzou,محافظة الغابات تيزي وزو,15,,,36.733333,4.05,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,رقم 12، طريق لامالي أحمد، تيزيوزو,026122927,026122557,conservation-des-forets-de-tizi-ouzou
15-dsa-01,Direction des Services Agricoles de Tizi Ouzou,Direction des Services Agricoles de Tizi Ouzou,مديرية المصالح الفلاحية لولاية تيزي وزو,15,,,36.733333,4.05,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,الثانوية الجديدة، محطة القطار، سوق الفلاح بلوعة,026209036,026200508,direction-des-services-agricoles-de-tizi-ouzou
16-centre_formation-01,المعهد التكنولوجي الفلاحي المتخصص الجزائر,,المعهد التكنولوجي الفلاحي المتخصص الجزائر,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,centre_formation,Institut et centre de formation,معهد ومركز التكوين,public,ITMAS Alger,,021868236,,itmas-alger
16-chambre_agriculture-01,Chambre d'Agriculture de Alger,Chambre d'Agriculture de Alger,الغرفة الفلاحية لولاية الجزائر,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,محمد علي محمد علي العجمي 16058,021219396,021210039,chambre-d-agriculture-de-alger
16-chambre_agriculture-02,Chambre d'Agriculture de Alger,Chambre d'Agriculture de Alger,الغرفة الفلاحية لولاية الجزائر,16,1629,Mohammadia,36.7349528,3.1528692,approximate,commune_centroid,madr,chambre_agriculture,Chambre d'Agriculture,الغرفة الفلاحية,public,,المحمدية الصنوبر البحري,021210483,021210483,chambre-d-agriculture-de-alger-2
16-conservation_forets-01,Conservation des Forêts de Alger,Conservation des Forêts de Alger,محافظة الغابات الجزائر,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,conservation_forets,Conservation des Forêts,محافظة الغابات,public,,المزرعة النموذجية (الجزائرية) المحمدية، الجزائر,021514498,021514497,conservation-des-forets-de-alger
16-dsa-01,Direction des Services Agricoles de Alger,Direction des Services Agricoles de Alger,مديرية المصالح الفلاحية لولاية الجزائر,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,dsa,Direction des Services Agricoles,مديرية المصالح الفلاحية,public,,الطريق الوطني رقم 05 خمسة مقابل مقبرة العالية,021522745,021523606,direction-des-services-agricoles-de-alger
16-groupe_public-01,مجمع الحليب,,مجمع الحليب,16,1617,Hussein Dey,36.744147,3.092008,approximate,commune_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,GIPLAIT,01ساحة سليمان حمادوش حسين داي,023771241,023771243,giplait
16-groupe_public-02,مجمع الصناعات الغدائية و اللوجسيتيك,,مجمع الصناعات الغدائية و اللوجسيتيك,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,AGROLOG,22شارع المعدومين 17 ماي 1957 العناصر,021678809,021674014,agrolog
16-groupe_public-03,مجمع تثمين الانتاج الفلاحي (GVAPRO),,مجمع تثمين الانتاج الفلاحي,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,GVAPRO,22 شارع المعدومين 17 ماي 1957 العناصر,021676444,021674453,gvapro
16-groupe_public-04,مجمع تثمين الانتاج الفلاحي (Filiale SARBO),,مجمع تثمين الانتاج الفلاحي,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,Filiale SARBO,08نهج عبد الحمان ميرة باب الواد,021966799,021967667,filiale-sarbo
16-groupe_public-05,مجمع تثمين الانتاج الفلاحي (Filiale SOTRAVIT),,مجمع تثمين الانتاج الفلاحي,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,groupe_public,Complexe / Groupe public,مجمع عمومي,public,Filiale SOTRAVIT,,021737275,021737297,filiale-sotravit
16-institut_recherche-01,المركز الوطني للتلقيح الاصطناعي و التحسين الوراثي,,المركز الوطني للتلقيح الاصطناعي و التحسين الوراثي,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,CNIAAG,,023400012,023400012,cniaag
16-institut_recherche-02,المركز الوطني لمراقبة البذور و الشتائل و تصديقها,,المركز الوطني لمراقبة البذور و الشتائل و تصديقها,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,CNCC,,021521213,021529900,cncc
16-institut_recherche-03,المعهد التقني لتربية الحيوانات,,المعهد التقني لتربية الحيوانات,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,ITELV,,023570178,023570181,itelv
16-institut_recherche-04,المعهد التقني لزراعة أشجار الفاكهة والكروم,,المعهد التقني لزراعة أشجار الفاكهة والكروم,16,,,36.76846,3.0909,approximate,wilaya_centroid,madr,institut_recherche,Institut technique et de recherche scientifique,معهد تقني ومركز بحث علمي,public,ITAFV,,023583860,023583864,itafv
