id,name,type,temperature_c,debit_l_s,altitude_m,minerality,wilaya_code,wilaya_name,commune_name,source,lat,lng
142,HAMMAM EL BARAKA,hammam,42,6,771,CHLORUREE SODIQUE,38,TISSEMSILT,SIDI SLIMANE,ASAL geoportail,35.866842,1.683682
143,AIN CHIFAA,ain,42,6,748,CHLORUREE SODIQUE,38,TISSEMSILT,SIDI SLIMANE,ASAL geoportail,35.868992,1.688224
144,AIN KEHLA,ain,0,28,355,CHLORUREE SODIQUE,53,TAMANRASSET,FOUGARET EZZOUA,ASAL geoportail,27.393381,3.458185
145,HAMMAM SALHIN,hammam,43,30,116,CHLORUREE SODIQUE,07,BISKRA,BISKRA,ASAL geoportail,34.878397,5.674077
146,HAMMAM CHEGGA,hammam,22.2,0.02,19,CHLORUREE SODIQUE,07,BISKRA,OUMACHE,ASAL geoportail,34.433717,5.915687
147,EL BORMA,source,40,80,239,CHLORUREE SODIQUE,30,OUARGLA,EL BORMA,ASAL geoportail,31.588403,9.168816
148,GASSI TOUIL,source,50,100,188,CHLORUREE SODIQUE,30,OUARGLA,HASSI MESSAOUD,ASAL geoportail,30.66034,6.525919
149,HAI NASSER,source,53,160,221,CHLORUREE SODIQUE,30,OUARGLA,OUARGLA,ASAL geoportail,31.974402,5.232434
150,KHECHEM ERRIH GCA 0,source,54,150,122,CHLORUREE SODIQUE,55,OUARGLA,HASSI BEN ABDELLAH,ASAL geoportail,32.307097,5.700746
151,KHECHEM ERRIH,source,52,250,130,CHLORUREE SODIQUE,30,OUARGLA,HASSI BEN ABDELLAH,ASAL geoportail,32.256438,5.6573
152,SIDI MEHDI IV,source,56,200,82,CHLORUREE SODIQUE,55,OUARGLA,NEZLA,ASAL geoportail,33.060161,6.108672
153,HAMMAM DEHAMCHA,hammam,28,180,742,CHLORUREE SODIQUE,19,SETIF,DEHAMCHA,ASAL geoportail,36.3412778,5.6166667
154,HAMMAM NAKHLA,hammam,34.5,0.4,844,CHLORUREE SODIQUE ET BICARBONATE CALCIQUE,19,SETIF,RASFA,ASAL geoportail,35.7327778,5.1675
155,HAMMAM SISI EL HADJ,hammam,40.7,16,388,CHLORUREE SODIQUE ET CALCIQUE,61,BISKRA,EL OUTIA,ASAL geoportail,35.100087,5.629255
156,AIN TAHMAMINT,ain,32,2,365,CHLORUREE SODIQUE ET MAGNESIENNE,13,TLEMCEN,CHETOUANE,ASAL geoportail,34.94607,-1.308288
157,HAMMAM SIDI DJABALAH,hammam,37.2,0.8,306,"CHLORUREE SODIQUE, BICARBONATEE CALCIQUE",36,EL TARF,LAC DES OISEAUX,ASAL geoportail,36.74,8.1544444
158,HAMMAM MEXA,hammam,38,0.8,118,"CHLORUREE SODIQUE, BICARBONATEE CALCIQUE",36,EL TARF,BOUGOUS,ASAL geoportail,36.7,8.39
159,HAMMAM DELAA,hammam,40,2,758,CHLORUREE SULFATEE CALCIQUE ET SODIQUE,28,M'SILA,HAMMAM DELAA,ASAL geoportail,35.600331,4.379515
160,BAKHLA,source,27,3,238,CHLORUREE SULFATEE SODIQUE,01,ADRAR,BOUDA,ASAL geoportail,28.010049,-0.448108
161,HAMMAM OULED YELLES,hammam,43,0,920,EAU CHLORO-SULFATEE CALCIQUE RICHE EN MAGNESIUM ET SODIUM,19,SETIF,MEZLOUG,ASAL geoportail,36.0638889,5.2488889
162,SOURCE AIN TINN,source,32,6,555,HYPER CHLORUREE CALCIQUE,43,MILA,AIN TINN,ASAL geoportail,36.3863889,6.3302778
163,SOURCE EL ABIAT,source,37.1,15,494,HYPER CHLORUREE CALCIQUE,43,MILA,FERDJIOUA,ASAL geoportail,36.4536111,5.9180556
164,HAMMAM BENI HAROUN,hammam,42,43,88,HYPER CHLORUREE CALCIQUE,18,MILA,HAMALA,ASAL geoportail,36.6016667,6.2836111
165,SOURCE AIN JRABE,source,23,0,978,HYPER CHLORUREE CALCIQUE ET SULFATEE CALCIQUE,04,KHENCHLA,BABAR,ASAL geoportail,35.9880556,7.0891667
166,HAMMAM BENI GUECHA,hammam,48.2,0.5,525,HYPER CHLORUREE ET SULFATEE CALCIQUE,43,MILA,BENI GUECHA,ASAL geoportail,36.4194444,5.9894444
167,HAMMAM OULED AISSA,hammam,49,7,775,HYPER CHLORUREE ET SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1416667,6.33
168,FORAGE DACHRA MANSOURAH EL KEBIRA,forage,46,10,901,HYPER CHLORUREE SODIQUE,34,BORDJ BOU ARRERIDJ,MANSOURAH,ASAL geoportail,36.0683333,4.4611111
169,HAMMAM AIN EL DJRAB (OU AIN SIDI AHMED ),hammam,48,0.34,495,HYPER CHLORUREE SODIQUE,34,BORDJ BOU ARRERIDJ,M'HIR,ASAL geoportail,36.1936111,4.3783333
170,HAMMAM IBAINEM,hammam,62,1.28,450,HYPER CHLORUREE SODIQUE,34,BORDJ BOU ARRERIDJ,EL MAINE,ASAL geoportail,36.3725,4.7822222
171,HAMMAM EL BIBAN,hammam,80,4,500,HYPER CHLORUREE SODIQUE,34,BORDJ BOU ARRERIDJ,M'HIR,ASAL geoportail,36.1994444,4.39
172,BOUTRIG,source,56,100,150,HYPER CHLORUREE SODIQUE,44,AIN DEFLA,EL ATTAF,ASAL geoportail,36.214882,1.639666
173,AIN SELLAMA,ain,24.5,3,83,HYPER CHLORUREE SODIQUE,31,ORAN,MERS EL HADJAD,ASAL geoportail,35.751918,-0.164701
174,AIN MADAGH,ain,23.5,2,22,HYPER CHLORUREE SODIQUE,46,ORAN,AIN EL KERMA,ASAL geoportail,35.635804,-1.04171
175,HAMMAM BOURIM,hammam,35,1.5,39,"HYPER CHLORUREE SODIQUE, SULFATEE ET BICARBONATEE CALCIQUE",36,EL TARF,CHIHANI,ASAL geoportail,36.6133333,7.7966667
176,AIN KARSA,ain,22,1.2,518,HYPER SULFATEE BICARBONATEE CALCIQUE,44,AIN DEFLA,HAMMAM RIGHA,ASAL geoportail,36.379789,2.40011
177,SOURCE AIN DJARIR,source,33.4,4,1090,HYPER SULFATEE CALCIQUE,40,KHENCHLA,BOUHMAMA,ASAL geoportail,35.28,6.7888889
178,SOURCE KRIBSA,source,27,1,218,HYPER SULFATEE CALCIQUE,43,MILA,OUED ENDJA,ASAL geoportail,36.4783333,6.1086111
179,HAMMAM GUERDA,hammam,28.6,1,512,HYPER SULFATEE CALCIQUE,43,MILA,TIBERGUENT,ASAL geoportail,36.385,6.0316667
180,SOURCE OULED ELGHOUL,source,30,3,474,HYPER SULFATEE CALCIQUE,43,MILA,TASSALA,ASAL geoportail,36.5352778,6.0136111
181,SOURCE OULED ACHOUR,source,39.8,10,478,HYPER SULFATEE CALCIQUE,43,MILA,EL AYADI BARBES,ASAL geoportail,36.4441667,5.8944444
182,HAMMAM OULED BOU HAMA (ABDALAH),hammam,43,1.4,500,HYPER SULFATEE CALCIQUE,43,MILA,MILA,ASAL geoportail,36.3888889,6.1972222
183,SOURCE GROUZ,source,45,5,716,HYPER SULFATEE CALCIQUE,43,MILA,OUED ATHMANIA,ASAL geoportail,36.2352778,6.2838889
184,HAMMAM MAZZACHE,hammam,47,8,787,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.145,6.3261111
185,HAMMAM TELEGHEMA,hammam,49,10,777,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1433333,6.3277778
186,HAMMAM FRERES CHAOUCHE,hammam,49,30,778,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.137,6.3318333
187,HAMMAM OULED DJALI,hammam,49,10,779,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1346111,6.3266667
188,HAMMAM FRERES MENACER,hammam,50,6,771,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1372222,6.3341667
189,HAMMAM MINANA,hammam,50,18,772,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1375,6.3336111
190,HAMMAM TOUALI,hammam,0,50,766,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1397222,6.3255556
191,HAMMAM ESSAFSSAF,hammam,51,15,774,HYPER SULFATEE CALCIQUE,43,MILA,TELEGHEMA,ASAL geoportail,36.1539167,6.3179111
192,HAMMAM ETOUAMA,hammam,51,8,834,HYPER SULFATEE CALCIQUE,43,MILA,AINE MELLOUK,ASAL geoportail,36.2411111,6.19
193,HAMMAM CHIFAA OUED ATHMANIA,hammam,51,7,793,HYPER SULFATEE CALCIQUE,43,MILA,OUED ATHMANIA,ASAL geoportail,36.2391667,6.2905556
194,HAMMAM FARFOUR,hammam,35,1.5,146,HYPER SULFATEE CALCIQUE,21,SKIKDA,AZZABA,ASAL geoportail,36.7213889,7.1450556
195,HAMMAM SOUISSI ABDELMADJID,hammam,38.6,0.5,94,HYPER SULFATEE CALCIQUE,21,SKIKDA,AIN CHERCHAR,ASAL geoportail,36.7203889,7.1804722
196,HAMMAM ABDELMALEK MEZGHICHE,hammam,40.2,2.7,35.5,HYPER SULFATEE CALCIQUE,21,SKIKDA,BEN AZOUZ,ASAL geoportail,36.7911111,7.2806389
197,HAMMAM HADEF MILOUD,hammam,43,3.2,23,HYPER SULFATEE CALCIQUE,21,SKIKDA,BEN AZOUZ,ASAL geoportail,36.796,7.2785556
198,HAMMAM HADEF ABBES,hammam,45,3.5,30.3,HYPER SULFATEE CALCIQUE,21,SKIKDA,BEN AZOUZ,ASAL geoportail,36.7976111,7.2763889
199,HAMMAM EL SALHINE,hammam,48,2,109,HYPER SULFATEE CALCIQUE,21,SKIKDA,AZZABA,ASAL geoportail,36.7207778,7.1800556
200,HAMMAM RIGHA,hammam,68.5,7.3,584,HYPER SULFATEE CALCIQUE,44,AIN DEFLA,HAMMAM RIGHA,ASAL geoportail,36.379553,2.388636
201,AIN TOLBA,ain,36,2.8,510,HYPER SULFATEE CALCIQUE,44,AIN DEFLA,HAMMAM RIGHA,ASAL geoportail,36.373122,2.38718
202,SOURCE KARNIA,source,31.2,1.5,399,HYPER SULFATEE MAGNESIEN,43,MILA,TASSALA,ASAL geoportail,36.5352778,5.9863889
203,BEN KAHLA,source,50,120,212,NON ANALYSEE,30,OUARGLA,OUARGLA,ASAL geoportail,31.902689,5.238765
204,BLIDET AMOR,source,53,200,80,NON ANALYSEE,55,OUARGLA,BLIDET AMOR,ASAL geoportail,32.952001,5.990716
205,EL HADJIRA,source,55,127,141,NON ANALYSEE,55,OUARGLA,EL HADJIRA,ASAL geoportail,32.602645,5.5042
206,DOUCEN,source,50.4,30,165,SULFATE SODIQUE,51,BISKRA,DOUCEN,ASAL geoportail,34.612111,5.082583
207,EL GUEDDACHI2,source,52,150,118,SULFATEE  CHLORUREE SODIQUE,55,OUARGLA,EL HADJIRA,ASAL geoportail,32.582645,5.678898
208,EL HADEB,source,51,200,134,SULFATEE  CHLORUREE SODIQUE,30,OUARGLA,ROUISSAT,ASAL geoportail,31.925874,5.371443
209,SOURCE EL KOCHBI,source,29.9,5,813,SULFATEE CALCIQUE,05,BATNA,OULED SI SLIMANE,ASAL geoportail,35.6051389,5.6689889
210,SOURCE GUERDJIMA,source,41.6,1,647,SULFATEE CALCIQUE,05,BATNA,GOSBATE,ASAL geoportail,35.5334444,5.4787778
211,FORAGE DE SAIDA,forage,63,13,694,SULFATEE CALCIQUE,05,BATNA,N'GAOUS,ASAL geoportail,35.5675139,5.5632222
212,FORAGE AOUINET EL KEBRIT,forage,21,10,945,SULFATEE CALCIQUE,34,BORDJ BOU ARRERIDJ,EL EUCH,ASAL geoportail,35.9530556,4.67
213,SOURCE NAKHLAT OULED CHBIL,source,25,0.9,857,SULFATEE CALCIQUE,34,BORDJ BOU ARRERIDJ,BENDAOUD,ASAL geoportail,36.0925,4.2091667
214,SOURCE ZERDANE,source,25,0.85,973,SULFATEE CALCIQUE,28,BORDJ BOU ARRERIDJ,BENDAOUD,ASAL geoportail,36.0225,4.0838889
215,SOURCE NAKHLET LAAREF (AIN BOU NOUEL),source,25,0.4,1097,SULFATEE CALCIQUE,34,BORDJ BOU ARRERIDJ,BENDAOUD,ASAL geoportail,36.0919444,4.1419444
216,HAMMAM OULED  ALI DEFLA,hammam,55.3,18.5,214,SULFATEE CALCIQUE,24,GUELMA,HELIOPOLICE,ASAL geoportail,36.575,7.3816667
217,HAMMAM OULED ALI NAKHLA,hammam,55.7,25,212,SULFATEE CALCIQUE,24,GUELMA,HELIOPOLICE,ASAL geoportail,36.575,7.3811111
218,HAMMAM OULED ALI NAKHLATEIN,hammam,55.7,20,212,SULFATEE CALCIQUE,24,GUELMA,HELIOPOLICE,ASAL geoportail,36.575,7.3808333
219,HAMMAM GUERFA BELHACHANI,hammam,63,3,710.3,SULFATEE CALCIQUE,41,GUELMA,AIN LARBI,ASAL geoportail,36.2349833,7.3372167
220,HAMMAM GUERFA APC,hammam,67,4,688.7,SULFATEE CALCIQUE,24,GUELMA,AIN LARBI,ASAL geoportail,36.2463,7.3394333
221,HAMMAM ASSALHINE,hammam,60.1,30,1086,SULFATEE CALCIQUE,40,KHENCHLA,EL HAMMA,ASAL geoportail,35.4380278,7.0861944
222,HAMMAM GUERGOUR,hammam,45,18,695,SULFATEE CALCIQUE,19,SETIF,HAMMAM GUERGUOUR,ASAL geoportail,36.3238889,5.0552778
223,SOURCE OULED TEBBENE ex SIDI MANSOUR,source,50,25,1156,SULFATEE CALCIQUE,19,SETIF,OULED TEBBENE,ASAL geoportail,35.7894444,5.1255556
224,HAMMAM SIDI YAHIA BEN TALEB,hammam,21,1,504,SULFATEE CALCIQUE,12,TEBESSA,EL MERIDJ,ASAL geoportail,35.9059722,8.2463889
225,THELLAT,source,34,5.6,496,SULFATEE CALCIQUE,10,BOUMERDES,AMMAL,ASAL geoportail,36.598611,3.590417
226,HAMMAM DJORDANI,hammam,20,0.3,1105,SULFATEE CALCIQUE,67,MEDEA,AIN BOUCIF,ASAL geoportail,35.887686,3.168333
227,AIN SIDI CHARFE,ain,38,0.3,88,SULFATEE CALCIQUE,29,MOSTAGANEM,SIRAT,ASAL geoportail,35.721596,0.1866
228,AIN BOUAAOKA,ain,29.8,3,995,SULFATEE CALCIQUE,20,SAIDA,AIN SKHOUNA,ASAL geoportail,34.496671,0.851651
229,BELQUEBOR,source,41,40,378,SULFATEE CALCIQUE,33,ILLIZI,BORDJ OMAR IDRIS,ASAL geoportail,28.663198,6.513355
230,TABANKOURT,source,44,20,405,SULFATEE CALCIQUE,33,ILLIZI,BORDJ OMAR IDRIS,ASAL geoportail,28.618445,7.086182
231,ADJANDO,source,43,15,591,SULFATEE CALCIQUE,33,ILLIZI,ILLIZI,ASAL geoportail,26.784741,8.835276
232,DJERABAA,source,24.7,1,420,SULFATEE CALCIQUE ET MAGNESIENNE,15,M'SILA,SOUMAA,ASAL geoportail,35.600331,4.655095
233,TAMARNA CHOUCHA,source,53,200,54,SULFATEE CALCIQUE ET SODIQUE,57,EL OUED,SIDI AMRANE,ASAL geoportail,33.45116,5.981411
234,HAMMAM OULED TEBBENE BENAKRI RACHID,hammam,48.6,25,1172,SULFATEE CALCIQUE RICHE EN CHLOURES,19,SETIF,OULED TEBBENE,ASAL geoportail,35.7969444,5.1247222
235,SOUK DJAMAA,source,22,3,823,SULFATEE CARBONATEE,26,MEDEA,SOUAGUI,ASAL geoportail,36.112116,3.240591
236,KNIF FORAGE,source,52,8,1022,SULFATEE CHLORUREE CALCIQUE,04,KHENCHLA,BAGHAI,ASAL geoportail,35.4883056,7.2516389
237,SIDI MEHDI II,source,56,200,73,SULFATEE ET CHLORUREE SODIQUE,55,OUARGLA,NEZLA,ASAL geoportail,33.056908,6.105643
238,SOUK LARBAA,source,36,2,498,SULFATEE FERREE,26,MEDEA,BENI SLIMANE,ASAL geoportail,36.264532,3.384797
239,BELARIBI,source,26.8,20,555,SULFATEE MAGNESIENNE  ET CALCIQUE,28,M'SILA,M'SILA,ASAL geoportail,35.827885,4.569129
240,SOURCE BOUZANI,source,19.9,0.5,995,SULFATEE SODIQUE,05,BATNA,OULED FADHEL,ASAL geoportail,35.5480278,6.5874167
241,SOURCE BOUGHENDJA,source,19.9,0.5,990,SULFATEE SODIQUE,05,BATNA,TIMGAD,ASAL geoportail,35.5080833,6.5144167
242,SOURCE ZENZANE,source,25,0.4,857,SULFATEE SODIQUE,34,BORDJ BOU ARRERIDJ,BENDAOUD,ASAL geoportail,36.0816667,4.1963889
243,SOURCE OULJET OUKHLIFA,source,25,2,510,SULFATEE SODIQUE,40,KHENCHLA,KHEIRINE,ASAL geoportail,34.9880556,6.7452778
244,SOURCE TAMARSSITE,source,29,6,656,SULFATEE SODIQUE,40,KHENCHLA,EL OULJA,ASAL geoportail,35.0289444,6.75125
245,HAMMAM MED BELAKHDAR,hammam,22,4,841,SULFATEE SODIQUE,26,MEDEA,SOUAGUI,ASAL geoportail,36.109911,3.247351
246,HAMMAM REBI,hammam,48,7,706,SULFATEE SODIQUE,20,SAIDA,OULED KHALED,ASAL geoportail,34.929906,0.181914
247,HAMMAM SIDI AISSA,hammam,48,7,630,SULFATEE SODIQUE,20,SAIDA,SIDI AMAR,ASAL geoportail,34.959211,0.16636
248,AIN SIDI BOUTAIBA,ain,24,0.8,402,SULFATEE SODIQUE,29,MASCARA,MAMOUNIA,ASAL geoportail,35.458237,0.146927
249,AIN CHAFIA,ain,38,20,31,SULFATEE SODIQUE,29,MASCARA,BOU-HENNI,ASAL geoportail,35.6595,-0.0432778
250,ROKNET EL METHNAN,source,30,7,985,SULFATEE SODIQUE,20,EL BAYADH,ROGASSA,ASAL geoportail,34.286982,0.967406
251,HAOUD TMER,source,54,80,160,SULFATEE SODIQUE,30,OUARGLA,HASSI MESSAOUD,ASAL geoportail,31.693595,5.816091
252,HAOUED EL AMER,source,55,118,185,SULFATEE SODIQUE,30,OUARGLA,NGOUSSA,ASAL geoportail,32.152642,5.232413
253,HASSI BEN ADELLAH III,source,52,200,150,SULFATEE SODIQUE,30,OUARGLA,HASSI BEN ADELLAH,ASAL geoportail,32.048223,5.504519
254,HASSI BEN ADELLAH IV,source,52,200,148,SULFATEE SODIQUE,30,OUARGLA,HASSI BEN ADELLAH,ASAL geoportail,31.997589,5.467977
255,HASSI BEN ADELLAH,source,52,200,135,SULFATEE SODIQUE,30,OUARGLA,HASSI BEN ADELLAH,ASAL geoportail,32.023104,5.466999
256,MEGGARINE,source,56,200,60,SULFATEE SODIQUE,55,OUARGLA,MEGGARINE,ASAL geoportail,33.189411,6.079664
257,ROUISSAT,source,53,200,0,SULFATEE SODIQUE,30,OUARGLA,ROUISSAT,ASAL geoportail,31.906993,5.377524
258,SIDI MEHDI III,source,56,250,75,SULFATEE SODIQUE,55,OUARGLA,NEZLA,ASAL geoportail,33.057634,6.103512
259,SIDI SLIMANE,source,56,150,52,SULFATEE SODIQUE,55,OUARGLA,SIDI SLIMANE,ASAL geoportail,33.281795,6.118318
260,TAIBET,source,62,200,105,SULFATEE SODIQUE,55,OUARGLA,TAIBET,ASAL geoportail,33.096115,6.379261
261,TIMACINE,source,55,200,75,SULFATEE SODIQUE,55,OUARGLA,TIMACINE,ASAL geoportail,32.99621,5.995374
262,HAMMAM CHINIGUEL,hammam,22,0.4,743,SULFATEE SODIQUE,67,MEDEA,CHENIGUEL,ASAL geoportail,35.916331,3.598077
263,HAMMAM DIALEM,hammam,30.7,15,476,SULFATEE SODIQUE,28,M'SILA,OULED ADI LAGBALA,ASAL geoportail,35.595833,4.843389
264,AIN AMMAR,ain,56,100,170,SULFATEE SODIQUE,30,OUARGLA,AIN BEIDA,ASAL geoportail,31.781366,5.850417
265,AIN MOUDJAHIDINE,ain,58,150,169,SULFATEE SODIQUE,30,OUARGLA,HASSI MESSAOUD,ASAL geoportail,31.634559,5.95043
266,AIN SAHRA II,ain,56,152,77,SULFATEE SODIQUE,55,OUARGLA,NEZLA,ASAL geoportail,33.080059,6.03694
267,AIN SAHRA,ain,53,200,85,SULFATEE SODIQUE,55,OUARGLA,NEZLA,ASAL geoportail,33.076422,6.048134
268,BEN NACER,source,60,160,70,SULFATEE SODIQUE,55,OUARGLA,BEN NACER,ASAL geoportail,33.102999,6.441082
269,HASSI EL BAADJ,source,53,80,116,SULFATEE SODIQUE,55,OUARGLA,HASSI BEN ABDELAH,ASAL geoportail,32.403557,6.049807
270,EL GUEDDACHI1,source,55,150,140,SULFATEE SODIQUE,55,OUARGLA,EL HADJIRA,ASAL geoportail,32.575107,5.69323
271,EL HADEB II,source,53,200,150,SULFATEE SODIQUE,30,OUARGLA,ROUISSAT,ASAL geoportail,31.921684,5.375597
272,EL  HARHIRA,source,52,150,60,SULFATEE SODIQUE,55,OUARGLA,MEGGARINE,ASAL geoportail,33.226156,6.055499
273,EL MIR,source,56,150,132,SULFATEE SODIQUE,55,OUARGLA,EL HADJIRA,ASAL geoportail,32.662509,5.503023
274,EL MOUSTAKBEL,source,58,166,70,SULFATEE SODIQUE,55,OUARGLA,TOGGOURT,ASAL geoportail,33.120898,6.066995
275,EL ALIA,source,50,175,139,SULFATEE SODIQUE,55,OUARGLA,EL ALIA,ASAL geoportail,32.673886,5.443318
276,GASSI TOUIL 3,source,21,130,173,SULFATEE SODIQUE,30,OUARGLA,HASSI MESSAOUD,ASAL geoportail,30.867953,6.510134
277,GASSI TOUIL 4,source,48,180,172,SULFATEE SODIQUE,30,OUARGLA,HASSI MESSAOUD,ASAL geoportail,30.908213,6.486645
278,HAMMAM OULED BOUSHAB,hammam,20.5,0.3,868,SULFATEE SODIQUE ET CHLORUREE CALCIQUE,34,BORDJ BOU ARRERIDJ,EL HAMADIA,ASAL geoportail,36.0033333,4.7322222
279,KNIF (VAPEUR),source,0,0,1066,,04,KHENCHLA,BAGHAI,ASAL geoportail,35.4864167,7.2555278
280,AIN FEZZA,ain,17,10,846,,13,TLEMCEN,AIN FEZZA,ASAL geoportail,34.883749,-1.23811
281,AIN LALLA SETTI,ain,0,0,0,,31,ORAN,ARZEW,ASAL geoportail,35.862956,-0.319784
282,HAMMAM METAHRA,hammam,28,4,0,,48,RELIZANE,HAD ECHAKALA,ASAL geoportail,35.666142,1.10974
