network,type,code_wilaya,wilaya_fr,name_ar,abbreviation,address,phone,fax
direction-services-agricoles,dsa,1,Adrar,,,طريق طالب محمد,049364828,049364811
direction-services-agricoles,dsa,44,Aïn Defla,,,شارع 19 مارس عين الدفلى,027504532,027504534
direction-services-agricoles,dsa,46,Aïn Témouchent,,,حي زيتون 46000 عين تيموشنت,043779801,043779799
direction-services-agricoles,dsa,16,Alger,,,الطريق الوطني رقم 05 خمسة مقابل مقبرة العالية,021522745,021523606
direction-services-agricoles,dsa,23,Annaba,,,ساحة الثورة 23000,038450084,038450079
direction-services-agricoles,dsa,5,Batna,,,حي كشيدة,033852568,033807044
direction-services-agricoles,dsa,7,Biskra,,,شارع الامير عبد القادر المحطة,033558372,033558371
direction-services-agricoles,dsa,9,Blida,,,حي عزي علي سيدي عبد القادر,025391347,025246531
direction-services-agricoles,dsa,34,Bordj Bou Arreridj,,,شارع هواري بومدينن برج بوعريريج,035733134,035733130
direction-services-agricoles,dsa,10,Bouira,,,طريق بوكارو مخلوف,026730210,026730177
direction-services-agricoles,dsa,35,Boumerdès,,,المقر الجديدالكائن بحي البرتقال 35000 بومرداس,024795014,024795014
direction-services-agricoles,dsa,8,Béchar,,,05، العقيد شابو برقة,049210362,049210364
direction-services-agricoles,dsa,6,Béjaïa,,,الحي الإداري الجديد، طريق الإخوة ثابت، بجاية,034102606,034102612
direction-services-agricoles,dsa,2,Chlef,,,شارع بلحمري جيلالي، الشلف,027775900,027790575
direction-services-agricoles,dsa,25,Constantine,,,ساحة الشهداء، وسط المدينة 25800,031872804,031873219
direction-services-agricoles,dsa,17,Djelfa,,,حي راس العيون، طريق الأغواط الجلفة,027921857,027921859
direction-services-agricoles,dsa,32,El Bayadh,,,وسط المدينة 32000، البيض,049611395,049611419
direction-services-agricoles,dsa,39,El Oued,,,طريق محمد خميستي الوادي,032140083,032140080
direction-services-agricoles,dsa,36,El Tarf,,,حي بوحجر، الطارف,038601614,038601613
direction-services-agricoles,dsa,47,Ghardaïa,,,40 حي الأمير عبد القادر,029285099,029295411
direction-services-agricoles,dsa,24,Guelma,,,حي بارة لخضر عقابي، قالمة,037111291,037111293
direction-services-agricoles,dsa,33,Illizi,,,طريق مصطفي بن بولعيد، وسط المدينة، 33000 إليزي,029402861,029402860
direction-services-agricoles,dsa,18,Jijel,,,الحي الإداري أولاد عيسى,034471580,034495980
direction-services-agricoles,dsa,40,Khenchela,,,خنشلة 40000,032746713,032746853
direction-services-agricoles,dsa,3,Laghouat,,,محافير,029145412,029146484
direction-services-agricoles,dsa,29,Mascara,,,طريق سيدي سحنون الراسدية طريق تيارت، 29000 معسكر,045711850,045711853
direction-services-agricoles,dsa,43,Mila,,,طريق بن كربة لخضر، 43000، ميلة,031480233,031480235
direction-services-agricoles,dsa,27,Mostaganem,,,حي وادي الحدائق، 27000، مستغانم,045415111,045415113
direction-services-agricoles,dsa,26,Médéa,,,شارع سلفادور حي المصلى المدية،35000,025793685,025793686
direction-services-agricoles,dsa,28,M'sila,,,الحي الإداري 28000,035350669,035550014
direction-services-agricoles,dsa,45,Naâma,,,حي 164 مسكن، 45000، النعامة,049595294,049595327
direction-services-agricoles,dsa,31,Oran,,,02، الاستاذ عابد محمد، بلاطو، وهران,041301011,041301031
direction-services-agricoles,dsa,30,Ouargla,,,نهج القدس،30000،ورقلة,029712274,029713730
direction-services-agricoles,dsa,4,Oum El Bouaghi,,,حي العربي بن مهيدي، أم البواقي,032563110,032563262
direction-services-agricoles,dsa,48,Relizane,,,حي 24 مسكن دلاس، غليزان,046716388,046716379
direction-services-agricoles,dsa,20,Saïda,,,حي الرياض، سعيدة,048374123,048374121
direction-services-agricoles,dsa,22,Sidi Bel Abbès,,,طريق بوخنافيس، المستشفى22000,048769507,048769512
direction-services-agricoles,dsa,21,Skikda,,,حي الإخوة شبل، سكي أوتو ديدوش مراد سابقا، 21000,038751510,038753916
direction-services-agricoles,dsa,41,Souk Ahras,,,حي، 08 مكاتب، وسط المدينة، 41000,037754090,037754092
direction-services-agricoles,dsa,19,Sétif,,,حي عين تيبينات، 19000,036621019,036621017
direction-services-agricoles,dsa,11,Tamanrasset,,,3048حي السلام,029310210,029310211
direction-services-agricoles,dsa,14,Tiaret,,,شارع بوليس عمار، طريق بوشقيف، تيارت,046244408,046244407
direction-services-agricoles,dsa,37,Tindouf,,,طريق الثورة، حي قصابي، تندوف، 37000,049922029,049376756
direction-services-agricoles,dsa,42,Tipaza,,,حي 50 مسكن، 42038، الناظور,024476933,024376981
direction-services-agricoles,dsa,38,Tissemsilt,,,حي عين البرج، تيسمسيلت,046477970,046567209
direction-services-agricoles,dsa,15,Tizi Ouzou,,,الثانوية الجديدة، محطة القطار، سوق الفلاح بلوعة,026209036,026200508
direction-services-agricoles,dsa,13,Tlemcen,,,شارع 24 متر، تلمسان,043422347,043422031
direction-services-agricoles,dsa,12,Tébessa,,,طريق قسنطينة,037592700,037592837
direction-services-agricoles,dsa,49,Timimoun,,,شارع عبد القادر الزيادي تيميمون,049305106,049305106
direction-services-agricoles,dsa,50,Bordj Badji Mokhtar,,,الحي الوظيفي,049322629,049322629
direction-services-agricoles,dsa,51,Ouled Djellal,,,الحي الاداري الجديد,033660143,033660145
direction-services-agricoles,dsa,52,Béni Abbès,,,المجمع الاداري لولاية بني عباس,049286205,049286206
direction-services-agricoles,dsa,53,In Salah,,,وسط مدينة إن صالح,029366501,029366501
direction-services-agricoles,dsa,54,In Guezzam,,,وسط مدينة إن قزام,029354460,029354460
direction-services-agricoles,dsa,55,Touggourt,,,الحي الاداري المستقبل توقرت,044698681,044698680
direction-services-agricoles,dsa,56,Djanet,,,حي الزلوز جانت,029487154,029487154
direction-services-agricoles,dsa,57,El M'Ghair,,,الحي الإداري أول نوفمبر,047420560,047420562
direction-services-agricoles,dsa,58,El Meniaa,,,الحي الاداري بلباشير المنيعة,044441477,044441293
conservation-forets,conservation_forets,1,Adrar,محافظة الغابات أدرار,,حي أولاد أونقالا (مقر الولاية سابقا) 389,049361232,049361234
conservation-forets,conservation_forets,46,Aïn Témouchent,محافظة الغابات عين تموشنت,,طريق شعبة اللحم، عين تيموشنت,043783243,043783242
conservation-forets,conservation_forets,44,Aïn Defla,محافظة الغابات عين الدفلى,,شارع 18 فيفري عين الدفلة,027505338,028505339
conservation-forets,conservation_forets,16,Alger,محافظة الغابات الجزائر,,المزرعة النموذجية (الجزائرية) المحمدية، الجزائر,021514498,021514497
conservation-forets,conservation_forets,23,Annaba,محافظة الغابات عنابة,,حي 05 جويلية 1962، عنابة,038423003,038422632
conservation-forets,conservation_forets,5,Batna,محافظة الغابات باتنة,,الحي الإداري الجديد، باتنة 03,033807031,033853902
conservation-forets,conservation_forets,8,Béchar,محافظة الغابات بشار,,"ص,ب 193 طريق المطار، بشار",049262183,049262182
conservation-forets,conservation_forets,6,Béjaïa,محافظة الغابات بجاية,,طريق فاتح محفوظي المنطقة الصناعية، بجاية,034187090,034187128
conservation-forets,conservation_forets,7,Biskra,محافظة الغابات بسكرة,,حارة الواد بسكرة,033530454,033530453
conservation-forets,conservation_forets,9,Blida,محافظة الغابات البليدة,,طرق واد العلايق – 13 زبانة (90000 بليدة),025235815,025235817
conservation-forets,conservation_forets,34,Bordj Bou Arreridj,محافظة الغابات برج بوعريريج,,17 طريق رماش عيسى الحدائق برج بوعريريج,035733098,035733100
conservation-forets,conservation_forets,10,Bouira,محافظة الغابات البويرة,,منطقة الحظائرن ولاية بويرة,026732839,026930131
conservation-forets,conservation_forets,35,Boumerdès,محافظة الغابات بومرداس,,حي إبن خلدون 1200 مسكن بومرداس,024791342,024811570
conservation-forets,conservation_forets,2,Chlef,محافظة الغابات الشلف,,"نهج الأمير عبد القادر ص,ب 232",027771808,027771616
conservation-forets,conservation_forets,25,Constantine,محافظة الغابات قسنطينة,,حي بوصوف، المرحلة الاولى/ قسنطينة,031600863,031604864
conservation-forets,conservation_forets,17,Djelfa,محافظة الغابات الجلفة,,شارع 05 جويلية (بنات بلكحل)الجلفة,027923419,027873898
conservation-forets,conservation_forets,32,El Bayadh,محافظة الغابات البيض,,"الحي الإداري ص,ب رقم 127 البيض",049613981,049613982
conservation-forets,conservation_forets,39,El Oued,محافظة الغابات الوادي,,"ص,ب رقم 127، الوادي",032139431,032139430
conservation-forets,conservation_forets,36,El Tarf,محافظة الغابات الطارف,,الحي الإداري الجديد، طريق الزيتونة، الطارف,046551119,046551119
conservation-forets,conservation_forets,47,Ghardaïa,محافظة الغابات غرداية,,غرداية، غرداية,029258122,029258123
conservation-forets,conservation_forets,24,Guelma,محافظة الغابات قالمة,,حي مخنشة عبد اللطيف قالمة,037169931,037145557
conservation-forets,conservation_forets,33,Illizi,محافظة الغابات إليزي,,الحي الإداري، إليزي,029422087,029404024
conservation-forets,conservation_forets,18,Jijel,محافظة الغابات جيجل,,طرق قسنطينةن جيجل 18000,034471736,034474627
conservation-forets,conservation_forets,40,Khenchela,محافظة الغابات خنشلة,,وادي عبد الله بن أحمد خلاف، خنشلة,032746858,032746745
conservation-forets,conservation_forets,3,Laghouat,محافظة الغابات الأغواط,,الحي الإداري المحاريف، الأغواط,029145400,029145401
conservation-forets,conservation_forets,29,Mascara,محافظة الغابات معسكر,,طريق المجاهد المتوفي أحمد خثير بلمختار 29000، معسكر,045718834,045719238
conservation-forets,conservation_forets,26,Médéa,محافظة الغابات المدية,,طريق سافادور ألاند، حي المصلى، مدية,025793676,025581463
conservation-forets,conservation_forets,43,Mila,محافظة الغابات ميلة,,طريق المحطة، حي 500 مسكن 43000، ميلة,031473944,031473945
conservation-forets,conservation_forets,27,Mostaganem,محافظة الغابات مستغانم,,01 طريق مزيان مختار 27000، مستغانم,045417468,045417465
conservation-forets,conservation_forets,28,M'sila,محافظة الغابات المسيلة,,طريق مسيلة 28000,035336192,
conservation-forets,conservation_forets,45,Naâma,محافظة الغابات النعامة,,"المقر الجديد، بجانب المستشفى ص,ب 65، النعامة",049593369,049593310
conservation-forets,conservation_forets,31,Oran,محافظة الغابات وهران,,طريق فرانج مارتان، كنستال، وهران,041622062,041622063
conservation-forets,conservation_forets,4,Oum El Bouaghi,محافظة الغابات أم البواقي,,"حي 18 فيفري ص,ب رقم 41، أم البواقي",032563614,032545717
conservation-forets,conservation_forets,30,Ouargla,محافظة الغابات ورقلة,,منطقة النشاطاتن 30000، ورقلة,029713942,029713005
conservation-forets,conservation_forets,48,Relizane,محافظة الغابات غليزان,,حي الوافي،,046725015,046725016
conservation-forets,conservation_forets,20,Saïda,محافظة الغابات سعيدة,,طريق تيارت 20000 ولاية سعيدة,048516584,048410313
conservation-forets,conservation_forets,19,Sétif,محافظة الغابات سطيف,,حي عين تبينات سطيف,036621003,036621006
conservation-forets,conservation_forets,22,Sidi Bel Abbès,محافظة الغابات سيدي بلعباس,,رقم 55، طريق قيصر بوزيان، الحي الإداري فتيحة، سيدي بلعباس,048684738,048652358
conservation-forets,conservation_forets,21,Skikda,محافظة الغابات سكيكدة,,حي بوعباز، سكيكدة,038754378,038754378
conservation-forets,conservation_forets,41,Souk Ahras,محافظة الغابات سوق أهراس,,حي قطار الزايدي باولو 01، سوق أهراس,037751189,037751185
conservation-forets,conservation_forets,11,Tamanrasset,محافظة الغابات تمنراست,,"حي الشموعة، ص,ب 126، تمنراست",029320147,029320147
conservation-forets,conservation_forets,12,Tébessa,محافظة الغابات تبسة,,حيالهواء الجميل وسط ، تبسة,037555948,037555654
conservation-forets,conservation_forets,14,Tiaret,محافظة الغابات تيارت,,"حي عرباوي عبد القادر، مقابل حي دبي، ص,ب 118، تيارت",046254212,046207816
conservation-forets,conservation_forets,37,Tindouf,محافظة الغابات تندوف,,"ص,ب رقم 501 تندوف",049379292,049379251
conservation-forets,conservation_forets,42,Tipaza,محافظة الغابات تيبازة,,الحي الإداري الجديد، تيبازة,024376286,024376285
conservation-forets,conservation_forets,38,Tissemsilt,محافظة الغابات تيسمسيلت,,طريق سيدي خليفة، تيسمسيلت,038601023,038601873
conservation-forets,conservation_forets,15,Tizi Ouzou,محافظة الغابات تيزي وزو,,رقم 12، طريق لامالي أحمد، تيزيوزو,026122927,026122557
conservation-forets,conservation_forets,13,Tlemcen,محافظة الغابات تلمسان,,"ص,ب رقم 369، تلمسان",043278562,043271479
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني الجزائري للبحث الزراعي,INRAA,,023828564,023828563
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني للأبحاث الغابية,INRF,,021901223,021901026
institut-technique-recherche,institut_recherche,16,Alger,المركز الوطني لمراقبة البذور و الشتائل و تصديقها,CNCC,,021521213,021529900
institut-technique-recherche,institut_recherche,16,Alger,المركز الوطني للتلقيح الاصطناعي و التحسين الوراثي,CNIAAG,,023400012,023400012
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني للطب البيطري,INMV,,021536760,021536720
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني لحماية النباتات,INPV,,023828885,023828896
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني للأراضي والسقي وصرف المياه,INSID,,021825457,021825739
institut-technique-recherche,institut_recherche,16,Alger,المعهد الوطني للإرشاد الزراعي,INVA,,021543417,
institut-technique-recherche,institut_recherche,16,Alger,المعهد التقني لزراعة أشجار الفاكهة والكروم,ITAFV,,023583860,023583864
institut-technique-recherche,institut_recherche,16,Alger,لمعهد التقني لزراعة البقول و الزراعات الصناعية,ITCMI,,021393690,021393692
institut-technique-recherche,institut_recherche,16,Alger,المعهد التقني لتربية الحيوانات,ITELV,,023570178,023570181
institut-technique-recherche,institut_recherche,16,Alger,المعهد التقني للزراعات الواسعة,ITGC,,023828553,023828553
institut-technique-recherche,institut_recherche,5,Batna,المدرسة الوطنية للغابات,ENAF,,033857454,
institut-technique-recherche,institut_recherche,7,Biskra,لمعهد التقني لتنمية الزراعة الصحراوية,ITDAS,,033624291,033624278
institut-technique-recherche,institut_recherche,17,Djelfa,المحافظة السامية لتطوير السهوب,HCDS,,027875304,
institut-technique-recherche,institut_recherche,30,Ouargla,محافظة تنمية الزراعة بالمناطق الصحراوية,CDARS,,029713039,029713689
institut-centre-formation,centre_formation,1,Adrar,المعهد التكنولوجي الفلاحي المتخصص أدرار,ITMAS Adrar,,049904950,
institut-centre-formation,centre_formation,46,Aïn Témouchent,المعهد التكنولوجي الفلاحي المتخصص عين تيموشنت,ITMAS Ain Temouchent,,043798366,
institut-centre-formation,centre_formation,16,Alger,المعهد التكنولوجي الفلاحي المتخصص الجزائر,ITMAS Alger,,021868236,
institut-centre-formation,centre_formation,17,Djelfa,المعهد التكنولوجي الفلاحي المتخصص الجلفة,ITMAS Djelfa,,027921842,
institut-centre-formation,centre_formation,24,Guelma,المعهد التكنولوجي الفلاحي المتخصص قالمة,ITMAS Guelma,,037111697,
institut-centre-formation,centre_formation,18,Jijel,مركز التكوين الأعوان التقنيين المتخصصين في الغابات جيجل,CFATSF Jijel,,034584317,
institut-centre-formation,centre_formation,26,Médéa,مركز التكوين الأعوان التقنيين المتخصصين في الغابات المدية,CFATSF Medea,,025715819,
institut-centre-formation,centre_formation,26,Médéa,مركز التكوين و الإرشاد الفلاحي المدية,CFVA Medea,,025588926,
institut-centre-formation,centre_formation,30,Ouargla,مركز التكوين و الإرشاد الفلاحي تقرت,CFVA Touggourt,,029693174,
institut-centre-formation,centre_formation,19,Sétif,المعهد التكنولوجي الفلاحي المتخصص سطيف,ITMAS Setif,,036619251,
institut-centre-formation,centre_formation,15,Tizi Ouzou,المعهد التكنولوجي الفلاحي المتخصص تيزي وزو,ITMAS Tizi Ouzou,,026207051,
chambre-agriculture,chambre_agriculture,1,Adrar,,,حي محمد بوضياف وسط مدينة الهامل 01000 أدرار,049351724,049351724
chambre-agriculture,chambre_agriculture,46,Aïn Témouchent,,,حي العقيد عثمان كاستورز عين تموشنت,043796800,043791852
chambre-agriculture,chambre_agriculture,16,Alger,,,محمد علي محمد علي العجمي 16058,021219396,021210039
chambre-agriculture,chambre_agriculture,16,Alger,,,المحمدية الصنوبر البحري,021210483,021210483
chambre-agriculture,chambre_agriculture,23,Annaba,,,ساحة بلوزداد المدينة القديمة,038450000,038450101
chambre-agriculture,chambre_agriculture,44,Aïn Defla,,,حي 160 مسكن مناد حاج قدور رقم 65,027503067,027503076
chambre-agriculture,chambre_agriculture,5,Batna,,,حي ادم الاخضرار05000 باتنة,033814656,033803879
chambre-agriculture,chambre_agriculture,8,Béchar,,,حي غراسا 0800 بشار,049215715,049215715
chambre-agriculture,chambre_agriculture,6,Béjaïa,,,50مسكن حي رابية ناصيرية 0600 بجاية,034164185,034164186
chambre-agriculture,chambre_agriculture,7,Biskra,,,356شارع الاخواة جزار وسط المدينة 07000 بسكرة,033537470,033537469
chambre-agriculture,chambre_agriculture,9,Blida,,,10نهج بن بولعيد البليدة 09000,025234417,026234416
chambre-agriculture,chambre_agriculture,34,Bordj Bou Arreridj,,,شارع مباركية سعيد,035748120,035748345
chambre-agriculture,chambre_agriculture,10,Bouira,,,شارع بوكارو مخلوف 1000 البويرة,026730172,026730101
chambre-agriculture,chambre_agriculture,35,Boumerdès,,,عمارة11ديسمبر عمارة AGF بناية ANDI الطابق الاول BMR,024914758,024799826
chambre-agriculture,chambre_agriculture,2,Chlef,,,حي بوسونة مقابل الضمان الاجتماعي 02000,027774663,027790857
chambre-agriculture,chambre_agriculture,25,Constantine,,,ساحة الشهداء وسط المدينة,031872467,031874259
chambre-agriculture,chambre_agriculture,17,Djelfa,,,ساحة محمد بوضياف وسط المدينة 17000 الجلفة,027923419,027923155
chambre-agriculture,chambre_agriculture,32,El Bayadh,,,المدباحة المقر السابق,049609824,049609823
chambre-agriculture,chambre_agriculture,39,El Oued,,,حي طوبة الاصنام قرب قصر العدالة,032115620,032115636
chambre-agriculture,chambre_agriculture,36,El Tarf,,,ساحة 20اوت 56,038300182,038300182
chambre-agriculture,chambre_agriculture,47,Ghardaïa,,,الرقم البريدي 117 سيدي عباز غرداية,029255059,029255599
chambre-agriculture,chambre_agriculture,24,Guelma,,,حي بارا لخضر عقابي,037161421,037161422
chambre-agriculture,chambre_agriculture,33,Illizi,,,62شارع مصطفى بن بولعيد وسط المدينة,029411537,029411537
chambre-agriculture,chambre_agriculture,18,Jijel,,,شارع 1 نوفمبر وسط المدينة 18000 جيجل,034471235,034497576
chambre-agriculture,chambre_agriculture,40,Khenchela,,,طريق بابار 40000 خنشلة,032324430,032324430
chambre-agriculture,chambre_agriculture,3,Laghouat,,,مدينة 5جويلية حديقة المعمورة 03000 الأغواط,029134301,029134300
chambre-agriculture,chambre_agriculture,29,Mascara,,,شارع مرزوق عمر ساحة فلسطين,045715991,045715933
chambre-agriculture,chambre_agriculture,43,Mila,,,طريق زغيا منطقة نشاط,031473221,031473222
chambre-agriculture,chambre_agriculture,27,Mostaganem,,,طريق غليزان ، وادي الحدائق ، BP 93,045415105,045415106
chambre-agriculture,chambre_agriculture,26,Médéa,,,شارع مجشكير,025734615,025734613
chambre-agriculture,chambre_agriculture,28,M'sila,,,حي الإدارية,035338390,035551575
chambre-agriculture,chambre_agriculture,45,Naâma,,,المنطقة الصناعية مشرية صندوق البريد 270 45100مشرية,049787533,049587408
chambre-agriculture,chambre_agriculture,31,Oran,,,شارع محطة مسرغين,040238283,040914541
chambre-agriculture,chambre_agriculture,30,Ouargla,,,,029712906,029712906
chambre-agriculture,chambre_agriculture,4,Oum El Bouaghi,,,شارع مدفون,032560726,032560651
chambre-agriculture,chambre_agriculture,48,Relizane,,,07حي فيغول علام,046766003,046766004
chambre-agriculture,chambre_agriculture,20,Saïda,,,طريق تيارت سرسور سعيدة,048410424,048410417
chambre-agriculture,chambre_agriculture,22,Sidi Bel Abbès,,,نهج الامير عبد القادر وسط المدينة,048688567,048688568
chambre-agriculture,chambre_agriculture,21,Skikda,,,03شالرع مداغي ديدوش مراد 21000 سكيكدة,038752310,038573916
chambre-agriculture,chambre_agriculture,41,Souk Ahras,,,حي 100 مكتب وسط المدينة,037310901,037710015
chambre-agriculture,chambre_agriculture,19,Sétif,,,حي القلاع عين توبنات 19000 سطيف,036621610,036621629
chambre-agriculture,chambre_agriculture,11,Tamanrasset,,,شارع سعيد مقراني وسط المدينة,029314001,029314001
chambre-agriculture,chambre_agriculture,14,Tiaret,,,حي 1575 مسكن محمد جحلان تيارت 14000,046221829,046426430
chambre-agriculture,chambre_agriculture,37,Tindouf,,,حي حاسيل عبد الله لطفي تندوف,049387198,
chambre-agriculture,chambre_agriculture,42,Tipaza,,,الطريق الوطني رقم 11 تقرت دائرة بوسماعيل تيبازة,024409292,024479358
chambre-agriculture,chambre_agriculture,38,Tissemsilt,,,شارع اول نوفمبر تيسمسيلت,046476918,046574558
chambre-agriculture,chambre_agriculture,15,Tizi Ouzou,,,حي 500 مسكن,026200508,026205469
chambre-agriculture,chambre_agriculture,13,Tlemcen,,,,043422031,043592837
chambre-agriculture,chambre_agriculture,12,Tébessa,,,حي شهلة عمارة رقم 02 تبسة 12000,037562041,037483042
operateur-economique-public,office_public,16,Alger,الديوان الجزائري المهني للحبوب,OAIC,05 شارع فرحات بوسعد / الجزائر,021237304,021237313
operateur-economique-public,office_public,16,Alger,الديوان الوطني المهني للحليب ومشتقاته,ONIL,المنطقة الصناعية ، الطريق الوطني رقم 01 بوفاريك ، البليدة,025283787,021283632
operateur-economique-public,office_public,16,Alger,الديوان الوطني المهني المشترك للخضر والفواكه واللحوم,ONILEV,توري حميدة ، طريق الشراقة ، عين بنيان ، الجزائر العاصمة,023210296,023210294
operateur-economique-public,office_public,16,Alger,الديوان الوطني للأراضي الفلاحية,ONTA,شارع علي بوحجة ، بيرتوتة 16045,023401682,023401682
complexe-public,groupe_public,16,Alger,مجمع تثمين الانتاج الفلاحي,GVAPRO,22 شارع المعدومين 17 ماي 1957 العناصر,021676444,021674453
complexe-public,groupe_public,16,Alger,مجمع الصناعات الغدائية و اللوجسيتيك,AGROLOG,22شارع المعدومين 17 ماي 1957 العناصر,021678809,021674014
complexe-public,groupe_public,16,Alger,مجمع الحليب,GIPLAIT,01ساحة سليمان حمادوش حسين داي,023771241,023771243
complexe-public,groupe_public,16,Alger,مجمع تثمين الانتاج الفلاحي,Filiale SARBO,08نهج عبد الحمان ميرة باب الواد,021966799,021967667
complexe-public,groupe_public,16,Alger,مجمع تثمين الانتاج الفلاحي,Filiale SOTRAVIT,,021737275,021737297
complexe-public,groupe_public,7,Biskra,مجمع تثمين الانتاج الفلاحي,Filiale SUDACO,شارع المحطة ص ب 64,033627019,033627020
complexe-public,groupe_public,9,Blida,مــــجــمــع الــهــنــدســـة الــريـــفــيــة,GGR,طريق بن صاري شبلي ولاية البليدة,025486847,025486852
complexe-public,groupe_public,9,Blida,مجمع تثمين الانتاج الفلاحي,Filiale AGRAL/AM,طريق بن صاري شبلي البليدة,025486844,025486842
complexe-public,groupe_public,31,Oran,مجمع تثمين الانتاج الفلاحي,Filiale SAO,شارع شهداء الثورة المنطقة الصناعية السانية,041513783,041513783
complexe-public,groupe_public,19,Sétif,مجمع تثمين الانتاج الفلاحي,Filiale SAGRODEV,ص ب 13 قلال ديار عين اولمان,036589248,036589248
